GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,O/U
21300001,2013-10-29,IND,-11.5,188.5
21300001,2013-10-29,ORL,11.5,188.5
21300002,2013-10-29,CHI,5.5,187.5
21300002,2013-10-29,MIA,-5.5,187.5
21300003,2013-10-29,LAC,-8.5,199.5
21300003,2013-10-29,LAL,8.5,199.5
21300004,2013-10-30,BKN,-3.0,194.5
21300004,2013-10-30,CLE,3.0,194.5
21300005,2013-10-30,MIA,-10.0,196.0
21300005,2013-10-30,PHI,10.0,196.0
21300006,2013-10-30,BOS,8.0,189.5
21300006,2013-10-30,TOR,-8.0,189.5
21300007,2013-10-30,DET,-2.5,190.0
21300007,2013-10-30,WAS,2.5,190.0
21300008,2013-10-30,MIL,7.5,196.0
21300008,2013-10-30,NYK,-7.5,196.0
21300009,2013-10-30,CHA,12.5,202.0
21300009,2013-10-30,HOU,-12.5,202.0
21300010,2013-10-30,MIN,-10.0,199.0
21300010,2013-10-30,ORL,10.0,199.0
21300011,2013-10-30,IND,0.0,187.5
21300011,2013-10-30,NOP,0.0,187.5
21300012,2013-10-30,ATL,6.0,196.5
21300012,2013-10-30,DAL,-6.0,196.5
21300013,2013-10-30,MEM,6.0,188.5
21300013,2013-10-30,SAS,-6.0,188.5
21300014,2013-10-30,OKC,-6.0,192.5
21300014,2013-10-30,UTA,6.0,192.5
21300015,2013-10-30,PHX,5.0,197.5
21300015,2013-10-30,POR,-5.0,197.5
21300016,2013-10-30,DEN,2.5,204.0
21300016,2013-10-30,SAC,-2.5,204.0
21300017,2013-10-30,GSW,-13.0,205.5
21300017,2013-10-30,LAL,13.0,205.5
21300018,2013-10-31,CHI,-7.5,188.5
21300018,2013-10-31,NYK,7.5,188.5
21300019,2013-10-31,GSW,7.0,205.0
21300019,2013-10-31,LAC,-7.0,205.0
21300020,2013-11-01,CHA,2.5,190.0
21300020,2013-11-01,CLE,-2.5,190.0
21300021,2013-11-01,NOP,-3.5,195.0
21300021,2013-11-01,ORL,3.5,195.0
21300022,2013-11-01,PHI,9.5,199.5
21300022,2013-11-01,WAS,-9.5,199.5
21300023,2013-11-01,ATL,-3.5,196.0
21300023,2013-11-01,TOR,3.5,196.0
21300024,2013-11-01,BOS,-2.0,187.5
21300024,2013-11-01,MIL,2.0,187.5
21300025,2013-11-01,DAL,6.5,207.0
21300025,2013-11-01,HOU,-6.5,207.0
21300026,2013-11-01,DET,7.5,188.0
21300026,2013-11-01,MEM,-7.5,188.0
21300027,2013-11-01,MIN,-2.5,202.0
21300027,2013-11-01,OKC,2.5,202.0
21300028,2013-11-01,BKN,3.5,194.5
21300028,2013-11-01,MIA,-3.5,194.5
21300029,2013-11-01,DEN,-4.5,198.0
21300029,2013-11-01,POR,4.5,198.0
21300030,2013-11-01,PHX,-3.5,196.0
21300030,2013-11-01,UTA,3.5,196.0
21300031,2013-11-01,LAC,-3.5,200.0
21300031,2013-11-01,SAC,3.5,200.0
21300032,2013-11-01,LAL,7.5,207.5
21300032,2013-11-01,SAS,-7.5,207.5
21300033,2013-11-02,CLE,8.5,187.5
21300033,2013-11-02,IND,-8.5,187.5
21300034,2013-11-02,CHI,-8.5,194.5
21300034,2013-11-02,PHI,8.5,194.5
21300035,2013-11-02,CHA,8.5,187.5
21300035,2013-11-02,NOP,-8.5,187.5
21300036,2013-11-02,DAL,-3.0,194.5
21300036,2013-11-02,MEM,3.0,194.5
21300037,2013-11-02,MIL,0.0,192.5
21300037,2013-11-02,TOR,0.0,192.5
21300038,2013-11-02,HOU,-6.0,199.5
21300038,2013-11-02,UTA,6.0,199.5
21300039,2013-11-02,POR,1.0,197.5
21300039,2013-11-02,SAS,-1.0,197.5
21300040,2013-11-02,GSW,-10.5,207.5
21300040,2013-11-02,SAC,10.5,207.5
21300041,2013-11-03,BOS,9.5,192.0
21300041,2013-11-03,DET,-9.5,192.0
21300042,2013-11-03,MIA,-13.0,200.0
21300042,2013-11-03,WAS,13.0,200.0
21300043,2013-11-03,BKN,-5.5,195.5
21300043,2013-11-03,ORL,5.5,195.5
21300044,2013-11-03,OKC,-13.0,198.0
21300044,2013-11-03,PHX,13.0,198.0
21300045,2013-11-03,MIN,3.5,195.0
21300045,2013-11-03,NYK,-3.5,195.0
21300046,2013-11-03,ATL,-1.0,204.5
21300046,2013-11-03,LAL,1.0,204.5
21300047,2013-11-04,CLE,-1.5,196.5
21300047,2013-11-04,MIN,1.5,196.5
21300048,2013-11-04,GSW,-7.0,211.0
21300048,2013-11-04,PHI,7.0,211.0
21300049,2013-11-04,BOS,12.0,185.5
21300049,2013-11-04,MEM,-12.0,185.5
21300050,2013-11-04,HOU,5.0,208.5
21300050,2013-11-04,LAC,-5.0,208.5
21300051,2013-11-05,MIA,-6.0,195.5
21300051,2013-11-05,TOR,6.0,195.5
21300052,2013-11-05,BKN,-10.0,191.5
21300052,2013-11-05,UTA,10.0,191.5
21300053,2013-11-05,DET,1.0,187.5
21300053,2013-11-05,IND,-1.0,187.5
