,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
1,0020800001,1610612738,Celtics,BOS,Boston,240:00,0.466,0.459,0.177,0.204,0.449,0.485,0.228,0.286
0,0020800001,1610612739,Cavaliers,CLE,Cleveland,240:00,0.449,0.485,0.228,0.19,0.466,0.459,0.177,0.245
1,0020800002,1610612741,Bulls,CHI,Chicago,240:00,0.543,0.638,0.204,0.378,0.513,0.256,0.205,0.364
0,0020800002,1610612749,Bucks,MIL,Milwaukee,240:00,0.513,0.256,0.205,0.295,0.543,0.638,0.204,0.486
1,0020800003,1610612747,Lakers,LAL,Los Angeles,240:00,0.513,0.228,0.161,0.205,0.405,0.167,0.154,0.259
0,0020800003,1610612757,Trail Blazers,POR,Portland,240:00,0.405,0.167,0.154,0.224,0.513,0.228,0.161,0.25
1,0020800004,1610612737,Hawks,ATL,Atlanta,240:00,0.471,0.36,0.155,0.333,0.391,0.31,0.155,0.383
0,0020800004,1610612753,Magic,ORL,Orlando,240:00,0.391,0.31,0.155,0.283,0.471,0.36,0.155,0.444
1,0020800005,1610612755,76ers,PHI,Philadelphia,240:00,0.375,0.333,0.197,0.404,0.506,0.21,0.113,0.261
0,0020800005,1610612761,Raptors,TOR,Toronto,240:00,0.506,0.21,0.113,0.217,0.375,0.333,0.197,0.491
1,0020800006,1610612751,Nets,NJN,New Jersey,240:00,0.513,0.231,0.129,0.122,0.401,0.37,0.156,0.375
0,0020800006,1610612764,Wizards,WAS,Washington,240:00,0.401,0.37,0.156,0.232,0.513,0.231,0.129,0.244
1,0020800007,1610612748,Heat,MIA,Miami,240:00,0.489,0.359,0.13,0.25,0.534,0.425,0.144,0.308
0,0020800007,1610612752,Knicks,NYK,New York,240:00,0.534,0.425,0.144,0.269,0.489,0.359,0.13,0.308
0,0020800008,1610612754,Pacers,IND,Indiana,240:00,0.522,0.433,0.227,0.132,0.473,0.176,0.151,0.308
1,0020800008,1610612765,Pistons,DET,Detroit,240:00,0.473,0.176,0.151,0.269,0.522,0.433,0.227,0.211
1,0020800009,1610612750,Timberwolves,MIN,Minnesota,240:00,0.5,0.253,0.114,0.216,0.481,0.313,0.155,0.255
0,0020800009,1610612758,Kings,SAC,Sacramento,240:00,0.481,0.313,0.155,0.191,0.5,0.253,0.114,0.235
1,0020800010,1610612749,Bucks,MIL,Milwaukee,240:00,0.507,0.342,0.214,0.326,0.445,0.425,0.214,0.348
0,0020800010,1610612760,Thunder,OKC,Oklahoma City,240:00,0.445,0.425,0.214,0.283,0.507,0.342,0.214,0.442
1,0020800011,1610612756,Suns,PHX,Phoenix,240:00,0.532,0.342,0.109,0.2,0.531,0.238,0.079,0.227
0,0020800011,1610612759,Spurs,SAS,San Antonio,240:00,0.531,0.238,0.079,0.159,0.532,0.342,0.109,0.289
1,0020800012,1610612745,Rockets,HOU,Houston,240:00,0.401,0.329,0.146,0.22,0.383,0.16,0.192,0.365
0,0020800012,1610612763,Grizzlies,MEM,Memphis,240:00,0.383,0.16,0.192,0.288,0.401,0.329,0.146,0.28
1,0020800013,1610612743,Nuggets,DEN,Denver,240:00,0.494,0.364,0.136,0.156,0.481,0.354,0.185,0.364
0,0020800013,1610612762,Jazz,UTA,Utah,240:00,0.481,0.354,0.185,0.273,0.494,0.364,0.136,0.2
0,0020800014,1610612740,Hornets,NOH,New Orleans,239:60,0.543,0.329,0.14,0.195,0.494,0.39,0.141,0.26
1,0020800014,1610612744,Warriors,GSW,Golden State,239:60,0.494,0.39,0.141,0.22,0.543,0.329,0.14,0.244
1,0020800015,1610612746,Clippers,LAC,Los Angeles,240:00,0.417,0.295,0.187,0.192,0.575,0.413,0.166,0.415
0,0020800015,1610612747,Lakers,LAL,Los Angeles,240:00,0.575,0.413,0.166,0.341,0.417,0.295,0.187,0.231
0,0020800016,1610612739,Cavaliers,CLE,Cleveland,240:00,0.535,0.403,0.173,0.333,0.358,0.419,0.15,0.321
1,0020800016,1610612766,Bobcats,CHA,Charlotte,240:00,0.358,0.419,0.15,0.264,0.535,0.403,0.173,0.359
1,0020800017,1610612742,Mavericks,DAL,Dallas,240:00,0.44,0.405,0.092,0.192,0.525,0.405,0.114,0.262
0,0020800017,1610612745,Rockets,HOU,Houston,240:00,0.525,0.405,0.114,0.19,0.44,0.405,0.092,0.269
