,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1,0022000001,1610612751,Nets,BKN,Brooklyn,240:00,0.62,0.38,0.432,0.064,0.36,0.224,0.208,0.184,0.368,0.481,0.519,0.733,0.267,0.571,0.429
0,0022000001,1610612744,Warriors,GSW,Golden State,240:00,0.667,0.333,0.545,0.101,0.303,0.121,0.152,0.192,0.444,0.63,0.37,0.9,0.1,0.703,0.297
0,0022000002,1610612747,Lakers,LAL,Los Angeles,240:00,0.642,0.358,0.532,0.183,0.248,0.11,0.22,0.174,0.349,0.586,0.414,0.556,0.444,0.579,0.421
1,0022000002,1610612746,Clippers,LAC,LA,240:00,0.57,0.43,0.517,0.086,0.362,0.138,0.121,0.138,0.431,0.433,0.567,0.643,0.357,0.5,0.5
0,0022000003,1610612749,Bucks,MIL,Milwaukee,240:00,0.611,0.389,0.529,0.116,0.347,0.149,0.124,0.066,0.413,0.25,0.75,0.786,0.214,0.413,0.587
1,0022000003,1610612738,Celtics,BOS,Boston,240:00,0.604,0.396,0.492,0.164,0.443,0.041,0.066,0.156,0.328,0.333,0.667,0.722,0.278,0.479,0.521
1,0022000004,1610612742,Mavericks,DAL,Dallas,240:00,0.565,0.435,0.529,0.059,0.265,0.196,0.206,0.098,0.471,0.37,0.63,0.778,0.222,0.472,0.528
0,0022000004,1610612756,Suns,PHX,Phoenix,240:00,0.62,0.38,0.509,0.151,0.311,0.226,0.179,0.123,0.358,0.481,0.519,0.727,0.273,0.553,0.447
1,0022000005,1610612748,Heat,MIA,Miami,240:00,0.507,0.493,0.396,0.036,0.432,0.171,0.171,0.171,0.36,0.636,0.364,0.938,0.063,0.763,0.237
0,0022000005,1610612740,Pelicans,NOP,New Orleans,240:00,0.551,0.449,0.429,0.02,0.306,0.061,0.265,0.112,0.408,0.524,0.476,0.7,0.3,0.581,0.419
1,0022000006,1610612744,Warriors,GSW,Golden State,240:00,0.545,0.455,0.485,0.101,0.303,0.101,0.212,0.212,0.384,0.292,0.708,0.7,0.3,0.412,0.588
0,0022000006,1610612749,Bucks,MIL,Milwaukee,240:00,0.6,0.4,0.435,0.072,0.435,0.145,0.13,0.072,0.362,0.433,0.567,0.6,0.4,0.5,0.5
0,0022000007,1610612738,Celtics,BOS,Boston,240:00,0.724,0.276,0.611,0.126,0.253,0.074,0.137,0.179,0.484,0.586,0.414,0.75,0.25,0.622,0.378
1,0022000007,1610612751,Nets,BKN,Brooklyn,240:00,0.618,0.382,0.423,0.081,0.366,0.138,0.211,0.114,0.341,0.423,0.577,0.667,0.333,0.512,0.488
1,0022000008,1610612742,Mavericks,DAL,Dallas,240:00,0.614,0.386,0.487,0.017,0.339,0.148,0.174,0.165,0.47,0.357,0.643,0.769,0.231,0.488,0.512
0,0022000008,1610612747,Lakers,LAL,Los Angeles,240:00,0.571,0.429,0.464,0.087,0.413,0.145,0.123,0.116,0.377,0.531,0.469,0.842,0.158,0.647,0.353
1,0022000009,1610612743,Nuggets,DEN,Denver,240:00,0.556,0.444,0.481,0.019,0.306,0.046,0.213,0.194,0.463,0.615,0.385,0.818,0.182,0.676,0.324
0,0022000009,1610612746,Clippers,LAC,LA,240:00,0.486,0.514,0.364,0.116,0.471,0.066,0.165,0.182,0.248,0.682,0.318,0.895,0.105,0.78,0.22
0,0022000010,1610612739,Cavaliers,CLE,Cleveland,240:00,0.655,0.345,0.529,0.017,0.347,0.174,0.124,0.132,0.512,0.688,0.313,0.857,0.143,0.739,0.261
1,0022000010,1610612766,Hornets,CHA,Charlotte,240:00,0.511,0.489,0.509,0.018,0.421,0.184,0.07,0.237,0.491,0.621,0.379,0.688,0.313,0.644,0.356
0,0022000011,1610612752,Knicks,NYK,New York,240:00,0.671,0.329,0.505,0.019,0.336,0.103,0.159,0.112,0.486,0.519,0.481,0.917,0.083,0.641,0.359
1,0022000011,1610612754,Pacers,IND,Indiana,240:00,0.638,0.362,0.628,0.066,0.198,0.248,0.174,0.174,0.562,0.605,0.395,0.625,0.375,0.609,0.391
1,0022000012,1610612748,Heat,MIA,Miami,240:00,0.759,0.241,0.654,0.15,0.196,0.121,0.15,0.187,0.505,0.543,0.457,0.857,0.143,0.595,0.405
0,0022000012,1610612753,Magic,ORL,Orlando,240:00,0.682,0.318,0.566,0.177,0.265,0.186,0.168,0.212,0.389,0.438,0.563,0.9,0.1,0.548,0.452
1,0022000013,1610612755,76ers,PHI,Philadelphia,240:00,0.678,0.322,0.584,0.124,0.212,0.106,0.204,0.212,0.46,0.424,0.576,1.0,0.0,0.537,0.463
0,0022000013,1610612764,Wizards,WAS,Washington,240:00,0.682,0.318,0.486,0.243,0.364,0.196,0.15,0.159,0.243,0.577,0.423,1.0,0.0,0.718,0.282
0,0022000014,1610612761,Raptors,TOR,Toronto,240:00,0.483,0.517,0.485,0.121,0.424,0.162,0.091,0.293,0.364,0.583,0.417,0.857,0.143,0.684,0.316
1,0022000014,1610612740,Pelicans,NOP,New Orleans,240:00,0.475,0.525,0.407,0.124,0.504,0.177,0.088,0.221,0.283,0.652,0.348,0.789,0.211,0.714,0.286
1,0022000015,1610612737,Hawks,ATL,Atlanta,240:00,0.563,0.438,0.468,0.065,0.339,0.185,0.194,0.234,0.403,0.552,0.448,0.571,0.429,0.558,0.442
0,0022000015,1610612741,Bulls,CHI,Chicago,240:00,0.598,0.402,0.538,0.115,0.231,0.115,0.231,0.154,0.423,0.429,0.571,1.0,0.0,0.556,0.444
0,0022000016,1610612760,Thunder,OKC,Oklahoma City,240:00,0.571,0.429,0.509,0.123,0.342,0.079,0.149,0.105,0.386,0.345,0.655,0.923,0.077,0.524,0.476
1,0022000016,1610612745,Rockets,HOU,Houston,240:00,0.519,0.481,0.446,0.089,0.375,0.107,0.179,0.188,0.357,0.44,0.56,0.786,0.214,0.564,0.436
0,0022000017,1610612759,Spurs,SAS,San Antonio,240:00,0.737,0.263,0.58,0.122,0.229,0.168,0.191,0.092,0.458,0.526,0.474,0.8,0.2,0.583,0.417
1,0022000017,1610612763,Grizzlies,MEM,Memphis,240:00,0.716,0.284,0.655,0.101,0.252,0.16,0.092,0.143,0.555,0.436,0.564,1.0,0.0,0.551,0.449
0,0022000018,1610612750,Timberwolves,MIN,Minnesota,240:00,0.534,0.466,0.486,0.09,0.297,0.153,0.216,0.144,0.396,0.556,0.444,0.909,0.091,0.658,0.342
1,0022000018,1610612765,Pistons,DET,Detroit,240:00,0.624,0.376,0.733,0.079,0.238,0.228,0.03,0.188,0.653,0.568,0.432,1.0,0.0,0.644,0.356
0,0022000019,1610612758,Kings,SAC,Sacramento,265:00,0.696,0.304,0.565,0.065,0.242,0.153,0.194,0.089,0.5,0.514,0.486,0.9,0.1,0.6,0.4
1,0022000019,1610612743,Nuggets,DEN,Denver,265:00,0.704,0.296,0.639,0.098,0.197,0.09,0.164,0.148,0.541,0.513,0.487,1.0,0.0,0.596,0.404
0,0022000020,1610612762,Jazz,UTA,Utah,240:00,0.468,0.532,0.4,0.033,0.475,0.083,0.125,0.083,0.367,0.458,0.542,0.684,0.316,0.558,0.442
1,0022000020,1610612757,Trail Blazers,POR,Portland,240:00,0.641,0.359,0.5,0.06,0.36,0.1,0.14,0.13,0.44,0.52,0.48,0.833,0.167,0.622,0.378
0,0022000021,1610612763,Grizzlies,MEM,Memphis,240:00,0.538,0.462,0.429,0.036,0.348,0.143,0.223,0.232,0.393,0.333,0.667,0.923,0.077,0.541,0.459
1,0022000021,1610612737,Hawks,ATL,Atlanta,240:00,0.596,0.404,0.41,0.049,0.32,0.066,0.27,0.098,0.361,0.44,0.56,0.923,0.077,0.605,0.395
0,0022000022,1610612760,Thunder,OKC,Oklahoma City,240:00,0.591,0.409,0.55,0.11,0.275,0.101,0.174,0.156,0.44,0.567,0.433,0.8,0.2,0.625,0.375
1,0022000022,1610612766,Hornets,CHA,Charlotte,240:00,0.656,0.344,0.449,0.056,0.364,0.252,0.187,0.168,0.393,0.667,0.333,0.846,0.154,0.73,0.27
0,0022000023,1610612765,Pistons,DET,Detroit,290:00,0.541,0.459,0.403,0.034,0.403,0.067,0.193,0.176,0.37,0.5,0.5,0.75,0.25,0.6,0.4
1,0022000023,1610612739,Cavaliers,CLE,Cleveland,290:00,0.697,0.303,0.547,0.047,0.305,0.125,0.148,0.242,0.5,0.571,0.429,0.692,0.308,0.604,0.396
1,0022000024,1610612753,Magic,ORL,Orlando,240:00,0.674,0.326,0.569,0.185,0.254,0.031,0.177,0.085,0.385,0.405,0.595,0.909,0.091,0.521,0.479
0,0022000024,1610612764,Wizards,WAS,Washington,240:00,0.611,0.389,0.55,0.133,0.325,0.067,0.125,0.15,0.417,0.485,0.515,0.923,0.077,0.609,0.391
0,0022000025,1610612755,76ers,PHI,Philadelphia,240:00,0.648,0.352,0.55,0.092,0.303,0.119,0.147,0.211,0.459,0.367,0.633,0.818,0.182,0.488,0.512
1,0022000025,1610612752,Knicks,NYK,New York,240:00,0.651,0.349,0.539,0.09,0.27,0.022,0.191,0.169,0.449,0.5,0.5,0.875,0.125,0.594,0.406
1,0022000026,1610612741,Bulls,CHI,Chicago,240:00,0.571,0.429,0.34,0.019,0.453,0.038,0.208,0.132,0.321,0.5,0.5,0.875,0.125,0.676,0.324
0,0022000026,1610612754,Pacers,IND,Indiana,240:00,0.72,0.28,0.688,0.08,0.216,0.08,0.096,0.2,0.608,0.581,0.419,1.0,0.0,0.654,0.346
1,0022000027,1610612759,Spurs,SAS,San Antonio,240:00,0.66,0.34,0.555,0.151,0.353,0.143,0.092,0.185,0.403,0.697,0.303,0.929,0.071,0.766,0.234
0,0022000027,1610612761,Raptors,TOR,Toronto,240:00,0.573,0.427,0.509,0.07,0.395,0.114,0.096,0.175,0.439,0.586,0.414,1.0,0.0,0.727,0.273
1,0022000028,1610612750,Timberwolves,MIN,Minnesota,240:00,0.713,0.287,0.552,0.086,0.336,0.138,0.112,0.224,0.466,0.344,0.656,0.769,0.231,0.467,0.533
0,0022000028,1610612762,Jazz,UTA,Utah,240:00,0.638,0.362,0.468,0.018,0.27,0.099,0.261,0.099,0.45,0.385,0.615,0.5,0.5,0.417,0.583
0,0022000029,1610612757,Trail Blazers,POR,Portland,265:00,0.559,0.441,0.438,0.078,0.445,0.156,0.117,0.172,0.359,0.429,0.571,0.789,0.211,0.574,0.426
1,0022000029,1610612745,Rockets,HOU,Houston,265:00,0.598,0.402,0.54,0.063,0.262,0.119,0.198,0.151,0.476,0.588,0.412,0.636,0.364,0.6,0.4
