GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,O/U
21700001,2017-10-17,BOS,3.5,212.5
21700001,2017-10-17,CLE,-3.5,212.5
21700002,2017-10-17,GSW,-9.0,228.5
21700002,2017-10-17,HOU,9.0,228.5
21700003,2017-10-18,CHA,3.0,202.5
21700003,2017-10-18,DET,-3.0,202.5
21700004,2017-10-18,BKN,3.5,217.0
21700004,2017-10-18,IND,-3.5,217.0
21700005,2017-10-18,MIA,-3.5,205.5
21700005,2017-10-18,ORL,3.5,205.5
21700006,2017-10-18,PHI,6.5,217.5
21700006,2017-10-18,WAS,-6.5,217.5
21700007,2017-10-18,BOS,-2.0,206.0
21700007,2017-10-18,MIL,2.0,206.0
21700008,2017-10-18,MEM,-2.5,205.0
21700008,2017-10-18,NOP,2.5,205.0
21700009,2017-10-18,ATL,5.5,198.5
21700009,2017-10-18,DAL,-5.5,198.5
21700010,2017-10-18,DEN,2.5,205.5
21700010,2017-10-18,UTA,-2.5,205.5
21700011,2017-10-18,MIN,1.5,205.0
21700011,2017-10-18,SAS,-1.5,205.0
21700012,2017-10-18,PHX,2.5,218.5
21700012,2017-10-18,POR,-2.5,218.5
21700013,2017-10-18,HOU,-7.0,217.5
21700013,2017-10-18,SAC,7.0,217.5
21700014,2017-10-19,CHI,13.5,208.0
21700014,2017-10-19,TOR,-13.5,208.0
21700015,2017-10-19,NYK,12.5,213.5
21700015,2017-10-19,OKC,-12.5,213.5
21700016,2017-10-19,LAC,-6.5,217.5
21700016,2017-10-19,LAL,6.5,217.5
21700017,2017-10-20,ATL,5.5,203.5
21700017,2017-10-20,CHA,-5.5,203.5
21700018,2017-10-20,IND,6.0,220.5
21700018,2017-10-20,POR,-6.0,220.5
21700019,2017-10-20,BOS,2.0,216.5
21700019,2017-10-20,PHI,-2.0,216.5
21700020,2017-10-20,DET,6.0,211.5
21700020,2017-10-20,WAS,-6.0,211.5
21700021,2017-10-20,CLE,-1.5,209.5
21700021,2017-10-20,MIL,1.5,209.5
21700022,2017-10-20,BKN,-2.0,226.0
21700022,2017-10-20,ORL,2.0,226.0
21700023,2017-10-20,MIN,-4.5,197.5
21700023,2017-10-20,UTA,4.5,197.5
21700024,2017-10-20,DAL,-5.5,202.5
21700024,2017-10-20,SAC,5.5,202.5
21700025,2017-10-20,GSW,-8.5,222.0
21700025,2017-10-20,NOP,8.5,222.0
21700026,2017-10-20,LAL,3.0,220.0
21700026,2017-10-20,PHX,-3.0,220.0
21700027,2017-10-21,PHI,9.5,218.0
21700027,2017-10-21,TOR,-9.5,218.0
21700028,2017-10-21,CLE,-11.5,214.5
21700028,2017-10-21,ORL,11.5,214.5
21700029,2017-10-21,IND,9.0,213.5
21700029,2017-10-21,MIA,-9.0,213.5
21700030,2017-10-21,DET,-2.0,206.0
21700030,2017-10-21,NYK,2.0,206.0
21700031,2017-10-21,CHI,10.0,200.0
21700031,2017-10-21,SAS,-10.0,200.0
21700032,2017-10-21,DAL,12.5,214.5
21700032,2017-10-21,HOU,-12.5,214.5
21700033,2017-10-21,GSW,-7.5,212.5
21700033,2017-10-21,MEM,7.5,212.5
21700034,2017-10-21,MIL,-3.5,213.0
21700034,2017-10-21,POR,3.5,213.0
21700035,2017-10-21,DEN,-12.0,212.0
21700035,2017-10-21,SAC,12.0,212.0
21700036,2017-10-21,OKC,-4.0,200.0
21700036,2017-10-21,UTA,4.0,200.0
21700037,2017-10-21,LAC,-13.5,220.5
21700037,2017-10-21,PHX,13.5,220.5
21700038,2017-10-22,ATL,2.5,221.0
21700038,2017-10-22,BKN,-2.5,221.0
21700039,2017-10-22,MIN,4.0,211.5
21700039,2017-10-22,OKC,-4.0,211.5
21700040,2017-10-22,LAL,5.0,222.0
21700040,2017-10-22,NOP,-5.0,222.0
21700041,2017-10-23,DET,-3.5,214.0
21700041,2017-10-23,PHI,3.5,214.0
21700042,2017-10-23,ATL,11.0,205.0
21700042,2017-10-23,MIA,-11.0,205.0
21700043,2017-10-23,HOU,-7.5,211.0
21700043,2017-10-23,MEM,7.5,211.0
21700044,2017-10-23,CHA,7.0,201.0
21700044,2017-10-23,MIL,-7.0,201.0
21700045,2017-10-23,DAL,13.5,217.5
21700045,2017-10-23,GSW,-13.5,217.5
21700046,2017-10-23,SAS,-3.0,202.0
