GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,OU
22001079,2021-05-16,TOR,6.5,227.0
22001076,2021-05-16,POR,-8.5,230.0
22001071,2021-05-16,DAL,-7.0,230.0
22001066,2021-05-16,HOU,7.5,232.0
22001070,2021-05-16,GSW,-3.5,229.0
22001079,2021-05-16,IND,-6.5,227.0
22001068,2021-05-16,MIL,-7.0,224.5
22001078,2021-05-16,PHX,-2.0,221.5
22001077,2021-05-16,UTA,-11.5,222.0
22001080,2021-05-16,WAS,-6.5,228.0
22001075,2021-05-16,PHI,-6.5,214.0
22001076,2021-05-16,DEN,8.5,230.0
22001078,2021-05-16,SAS,2.0,221.5
22001069,2021-05-16,MIA,-3.0,212.5
22001070,2021-05-16,MEM,3.5,229.0
22001074,2021-05-16,OKC,8.0,220.5
22001074,2021-05-16,LAC,-8.0,220.5
22001069,2021-05-16,DET,3.0,212.5
22001067,2021-05-16,CLE,13.0,225.5
22001071,2021-05-16,MIN,7.0,230.0
22001073,2021-05-16,BOS,12.5,211.5
22001066,2021-05-16,ATL,-7.5,232.0
22001072,2021-05-16,NOP,9.5,221.5
22001073,2021-05-16,NYK,-12.5,211.5
22001065,2021-05-15,PHX,-10.5,226.0
22001065,2021-05-15,SAS,10.5,226.0
22001062,2021-05-15,MIL,-4.0,233.0
22001063,2021-05-15,BOS,5.0,233.0
22001064,2021-05-15,NYK,-5.5,213.5
22001062,2021-05-15,MIA,4.0,233.0
22001060,2021-05-15,BKN,-11.0,232.0
22001061,2021-05-15,LAL,-8.5,226.5
22001063,2021-05-15,MIN,-5.0,233.0
22001064,2021-05-15,CHA,5.5,213.5
22001061,2021-05-15,IND,8.5,226.5
22001058,2021-05-14,LAC,-7.0,225.0
22000204,2021-05-14,WAS,-9.5,226.5
22001056,2021-05-14,OKC,15.5,221.5
22001054,2021-05-14,DET,8.5,217.0
22001056,2021-05-14,UTA,-15.5,221.5
22001057,2021-05-14,DAL,-14.5,220.0
22001059,2021-05-14,NOP,0.5,220.0
22001054,2021-05-14,DEN,-8.5,217.0
22000263,2021-05-14,MEM,-4.0,225.5
22001058,2021-05-14,HOU,7.0,225.0
22001059,2021-05-14,GSW,-0.5,220.0
22001055,2021-05-14,ORL,15.0,214.0
22001055,2021-05-14,PHI,-15.0,214.0
22001050,2021-05-13,MIA,-0.5,218.0
22001052,2021-05-13,MIN,2.5,231.0
22001049,2021-05-13,ORL,13.5,223.5
22000255,2021-05-13,SAC,8.5,227.0
22000458,2021-05-13,SAS,4.5,215.0
22001051,2021-05-13,CHI,-10.5,216.5
22001053,2021-05-13,POR,2.0,237.0
