GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,O/U
21900001,2019-10-22,NOP,7.0,231.5
21900001,2019-10-22,TOR,-7.0,231.5
21900002,2019-10-22,LAC,1.5,224.0
21900002,2019-10-22,LAL,-1.5,224.0
21900003,2019-10-23,CHA,3.5,219.0
21900003,2019-10-23,CHI,-3.5,219.0
21900004,2019-10-23,DET,7.0,211.0
21900004,2019-10-23,IND,-7.0,211.0
21900005,2019-10-23,CLE,9.5,211.5
21900005,2019-10-23,ORL,-9.5,211.5
21900006,2019-10-23,BKN,-3.5,230.0
21900006,2019-10-23,MIN,3.5,230.0
21900007,2019-10-23,MEM,8.0,214.0
21900007,2019-10-23,MIA,-8.0,214.0
21900008,2019-10-23,BOS,6.0,211.5
21900008,2019-10-23,PHI,-6.0,211.5
21900009,2019-10-23,DAL,-8.5,220.0
21900009,2019-10-23,WAS,8.5,220.0
21900010,2019-10-23,NYK,10.0,214.5
21900010,2019-10-23,SAS,-10.0,214.5
21900011,2019-10-23,OKC,9.0,221.5
21900011,2019-10-23,UTA,-9.0,221.5
21900012,2019-10-23,PHX,0.0,232.5
21900012,2019-10-23,SAC,0.0,232.5
21900013,2019-10-23,DEN,-1.0,217.0
21900013,2019-10-23,POR,1.0,217.0
21900014,2019-10-24,ATL,1.0,221.5
21900014,2019-10-24,DET,-1.0,221.5
21900015,2019-10-24,HOU,-1.5,230.0
21900015,2019-10-24,MIL,1.5,230.0
21900016,2019-10-24,GSW,2.0,227.5
21900016,2019-10-24,LAC,-2.0,227.5
21900017,2019-10-25,BOS,-3.0,216.5
21900017,2019-10-25,TOR,3.0,216.5
21900018,2019-10-25,CHA,5.5,226.5
21900018,2019-10-25,MIN,-5.5,226.5
21900019,2019-10-25,BKN,-8.0,225.5
21900019,2019-10-25,NYK,8.0,225.5
21900020,2019-10-25,CHI,-2.0,222.5
21900020,2019-10-25,MEM,2.0,222.5
21900021,2019-10-25,DAL,2.0,228.0
21900021,2019-10-25,NOP,-2.0,228.0
21900022,2019-10-25,OKC,-8.0,218.5
21900022,2019-10-25,WAS,8.0,218.5
21900023,2019-10-25,DEN,-11.0,220.0
21900023,2019-10-25,PHX,11.0,220.0
21900024,2019-10-25,POR,-2.0,227.5
21900024,2019-10-25,SAC,2.0,227.5
21900025,2019-10-25,LAL,-3.5,216.0
21900025,2019-10-25,UTA,3.5,216.0
21900026,2019-10-26,MIA,10.5,226.5
21900026,2019-10-26,MIL,-10.5,226.5
21900027,2019-10-26,DET,5.0,215.0
21900027,2019-10-26,PHI,-5.0,215.0
21900028,2019-10-26,ATL,2.5,216.5
21900028,2019-10-26,ORL,-2.5,216.5
21900029,2019-10-26,BOS,-5.5,214.0
21900029,2019-10-26,NYK,5.5,214.0
