date,team,site,o:team,line,total
20211019,Bucks,home,Nets,-2.0,234.0
20211019,Nets,away,Bucks,2.0,234.0
20211019,Lakers,home,Warriors,-3.0,226.5
20211019,Warriors,away,Lakers,3.0,226.5
20211020,Grizzlies,home,Cavaliers,-7.0,216.5
20211020,Cavaliers,away,Grizzlies,7.0,216.5
20211020,Hornets,home,Pacers,1.5,223.5
20211020,Pacers,away,Hornets,-1.5,223.5
20211020,Jazz,home,Thunder,-13.5,221.5
20211020,Thunder,away,Jazz,13.5,221.5
20211020,Knicks,home,Celtics,-2.5,217
20211020,Celtics,away,Knicks,2.5,217
20211020,Pelicans,home,Seventysixers,4.0,225.5
20211020,Seventysixers,away,Pelicans,-4.0,225.5
20211020,Pistons,home,Bulls,5.5,218.5
20211020,Bulls,away,Pistons,-5.5,218.5
20211020,Raptors,home,Wizards,-2.5,220.5
20211020,Wizards,away,Raptors,2.5,220.5
20211020,Spurs,home,Magic,-7.0,213
20211020,Magic,away,Spurs,7.0,213
20211020,Suns,home,Nuggets,-6.0,222.5
20211020,Nuggets,away,Suns,6.0,222.5
20211020,Timberwolves,home,Rockets,-6.5,229.5
20211020,Rockets,away,Timberwolves,6.5,229.5
20211020,Trailblazers,home,Kings,-6.5,232.5
20211020,Kings,away,Trailblazers,6.5,232.5
20211021,Hawks,home,Mavericks,-2.5,224.5
20211021,Mavericks,away,Hawks,2.5,224.5
20211021,Heat,home,Bucks,-3.0,222.5
20211021,Bucks,away,Heat,3.0,222.5
20211021,Warriors,home,Clippers,-3.0,229
20211021,Clippers,away,Warriors,3.0,229
20211022,Bulls,home,Pelicans,-7.0,221.0
20211022,Pelicans,away,Bulls,7.0,221.0
20211022,Cavaliers,home,Hornets,4.0,225.5
20211022,Hornets,away,Cavaliers,-4.0,225.5
20211022,Celtics,home,Raptors,-6.5,217.5
20211022,Raptors,away,Celtics,6.5,217.5
20211022,Kings,home,Jazz,6.0,226.5
20211022,Jazz,away,Kings,-6.0,226.5
20211022,Lakers,home,Suns,-0.5,220.0
20211022,Suns,away,Lakers,0.5,220.0
20211022,Magic,home,Knicks,7.0,211.0
20211022,Knicks,away,Magic,-7.0,211.0
20211022,Nuggets,home,Spurs,-7.5,221.0
20211022,Spurs,away,Nuggets,7.5,221.0
20211022,Rockets,home,Thunder,-2.0,222.5
20211022,Thunder,away,Rockets,2.0,222.5
20211022,Seventysixers,home,Nets,3.5,229.5
20211022,Nets,away,Seventysixers,-3.5,229.5
20211022,Wizards,home,Pacers,-1.5,227.5
20211022,Pacers,away,Wizards,1.5,227.5
20211023,Bulls,home,Pistons,-8.0,213.5
20211023,Pistons,away,Bulls,8.0,213.5
20211023,Cavaliers,home,Hawks,8.5,222.5
20211023,Hawks,away,Cavaliers,-8.5,222.5
20211023,Clippers,home,Grizzlies,-4.0,226.0
20211023,Grizzlies,away,Clippers,4.0,226.0
20211023,Pacers,home,Heat,4.5,223.5
20211023,Heat,away,Pacers,-4.5,223.5
20211023,Raptors,home,Mavericks,4.0,216.5
20211023,Mavericks,away,Raptors,-4.0,216.5
20211023,Spurs,home,Bucks,6.0,225.5
20211023,Bucks,away,Spurs,-6.0,225.5
20211023,Timberwolves,home,Pelicans,-7.5,228.5
20211023,Pelicans,away,Timberwolves,7.5,228.5
20211023,Trailblazers,home,Suns,-2.5,230.5
20211023,Suns,away,Trailblazers,2.5,230.5
20211024,Kings,home,Warriors,3.5,232.5
20211024,Warriors,away,Kings,-3.5,232.5
20211024,Knicks,home,Magic,-12.0,215.5
20211024,Magic,away,Knicks,12.0,215.5
20211024,Lakers,home,Grizzlies,-6.5,220.5
20211024,Grizzlies,away,Lakers,6.5,220.5
20211024,Nets,home,Hornets,-8.5,231.5
20211024,Hornets,away,Nets,8.5,231.5
20211024,Rockets,home,Celtics,5.5,224.5
20211024,Celtics,away,Rockets,-5.5,224.5
20211024,Thunder,home,Seventysixers,8.5,216.5
20211024,Seventysixers,away,Thunder,-8.5,216.5
20211025,Clippers,home,Trailblazers,-3.0,231.0
20211025,Trailblazers,away,Clippers,3.0,231.0
20211025,Hawks,home,Pistons,-11.5,212.5
20211025,Pistons,away,Hawks,11.5,212.5
20211025,Heat,home,Magic,-13.0,211.0
20211025,Magic,away,Heat,13.0,211.0
20211025,Hornets,home,Celtics,1.0,223.5
20211025,Celtics,away,Hornets,-1.0,223.5
20211025,Nets,home,Wizards,-7.0,228.5
20211025,Wizards,away,Nets,7.0,228.5
20211025,Nuggets,home,Cavaliers,-10.0,219.5
20211025,Cavaliers,away,Nuggets,10.0,219.5
20211025,Pacers,home,Bucks,2.0,229.5
20211025,Bucks,away,Pacers,-2.0,229.5
20211025,Raptors,home,Bulls,1.5,211.5
20211025,Bulls,away,Raptors,-1.5,211.5
20211025,Timberwolves,home,Pelicans,-5.5,226.0
20211025,Pelicans,away,Timberwolves,5.5,226.0
20211026,Jazz,home,Nuggets,-7.5,219.0
20211026,Nuggets,away,Jazz,7.5,219.0
20211026,Knicks,home,Seventysixers,-1.5,218.5
20211026,Seventysixers,away,Knicks,1.5,218.5
20211026,Mavericks,home,Rockets,-11.0,221.5
20211026,Rockets,away,Mavericks,11.0,221.5
20211026,Spurs,home,Lakers,4.5,220.5
20211026,Lakers,away,Spurs,-4.5,220.5
20211026,Thunder,home,Warriors,9.0,224.0
20211026,Warriors,away,Thunder,-9.0,224.0
20211027,Bucks,home,Timberwolves,-7.5,228.5
20211027,Timberwolves,away,Bucks,7.5,228.5
20211027,Celtics,home,Wizards,-4.5,225.5
20211027,Wizards,away,Celtics,4.5,225.5
20211027,Clippers,home,Cavaliers,-8.0,217.0
20211027,Cavaliers,away,Clippers,8.0,217.0
20211027,Magic,home,Hornets,6.0,216.0
20211027,Hornets,away,Magic,-6.0,216.0
20211027,Nets,home,Heat,-4.5,218.0
20211027,Heat,away,Nets,4.5,218.0
20211027,Pelicans,home,Hawks,6.0,219.5
20211027,Hawks,away,Pelicans,-6.0,219.5
20211027,Raptors,home,Pacers,1.5,218.0
20211027,Pacers,away,Raptors,-1.5,218.0
20211027,Suns,home,Kings,-8.0,226.0
20211027,Kings,away,Suns,8.0,226.0
20211027,Thunder,home,Lakers,9.0,220.5
20211027,Lakers,away,Thunder,-9.0,220.5
20211027,Trailblazers,home,Grizzlies,-2.5,234.0
20211027,Grizzlies,away,Trailblazers,2.5,234.0
20211028,Bulls,home,Knicks,-1.5,214.5
20211028,Knicks,away,Bulls,1.5,214.5
20211028,Mavericks,home,Spurs,-6.5,221.5
20211028,Spurs,away,Mavericks,6.5,221.5
20211028,Rockets,home,Jazz,9.0,222.5
20211028,Jazz,away,Rockets,-9.0,222.5
20211028,Seventysixers,home,Pistons,-10.0,217.5
20211028,Pistons,away,Seventysixers,10.0,217.5
20211028,Warriors,home,Grizzlies,-5.5,233.0
20211028,Grizzlies,away,Warriors,5.5,233.0
20211028,Wizards,home,Hawks,2.0,222.0
20211028,Hawks,away,Wizards,-2.0,222.0
20211029,Heat,home,Hornets,-6.0,221.5
20211029,Hornets,away,Heat,6.0,221.5
20211029,Lakers,home,Cavaliers,-8.5,219.5
20211029,Cavaliers,away,Lakers,8.5,219.5
20211029,Nets,home,Pacers,-8.0,223.5
20211029,Pacers,away,Nets,8.0,223.5
20211029,Nuggets,home,Mavericks,-1.5,220.5
20211029,Mavericks,away,Nuggets,1.5,220.5
20211029,Pelicans,home,Kings,2.0,219.5
20211029,Kings,away,Pelicans,-2.0,219.5
20211029,Raptors,home,Magic,-8.0,210.5
20211029,Magic,away,Raptors,8.0,210.5
20211029,Trailblazers,home,Clippers,-2.5,224.0
20211029,Clippers,away,Trailblazers,2.5,224.0
20211030,Bucks,home,Spurs,-7.0,223.0
20211030,Spurs,away,Bucks,7.0,223.0
20211030,Bulls,home,Jazz,3.5,217.5
20211030,Jazz,away,Bulls,-3.5,217.5
20211030,Grizzlies,home,Heat,-2.0,215.5
20211030,Heat,away,Grizzlies,2.0,215.5
20211030,Pacers,home,Raptors,-2.5,212.0
20211030,Raptors,away,Pacers,2.5,212.0
20211030,Pelicans,home,Knicks,6.0,215.0
20211030,Knicks,away,Pelicans,-6.0,215.0
20211030,Pistons,home,Magic,-6.0,207.0
20211030,Magic,away,Pistons,6.0,207.0
20211030,Seventysixers,home,Hawks,-3.0,217.0
20211030,Hawks,away,Seventysixers,3.0,217.0
20211030,Suns,home,Cavaliers,-10.0,215.0
20211030,Cavaliers,away,Suns,10.0,215.0
20211030,Timberwolves,home,Nuggets,-2.0,219.5
20211030,Nuggets,away,Timberwolves,2.0,219.5
20211030,Warriors,home,Thunder,-12.5,217.0
20211030,Thunder,away,Warriors,12.5,217.0
20211030,Wizards,home,Celtics,-2.0,223.0
20211030,Celtics,away,Wizards,2.0,223.0
20211031,Bucks,home,Jazz,2.0,224.0
20211031,Jazz,away,Bucks,-2.0,224.0
20211031,Hornets,home,Trailblazers,1.0,229.0
20211031,Trailblazers,away,Hornets,-1.0,229.0
20211031,Lakers,home,Rockets,-11.0,222.0
20211031,Rockets,away,Lakers,11.0,222.0
20211031,Mavericks,home,Kings,-4.0,218.0
20211031,Kings,away,Mavericks,4.0,218.0
20211031,Nets,home,Pistons,-12.0,215.0
20211031,Pistons,away,Nets,12.0,215.0
20211101,Celtics,home,Bulls,-2.5,215.5
20211101,Bulls,away,Celtics,2.5,215.5
20211101,Clippers,home,Thunder,-12.5,210.0
20211101,Thunder,away,Clippers,12.5,210.0
20211101,Grizzlies,home,Nuggets,0.0,213.5
20211101,Nuggets,away,Grizzlies,0.0,213.5
20211101,Hawks,home,Wizards,-5.5,222.5
20211101,Wizards,away,Hawks,5.5,222.5
20211101,Hornets,home,Cavaliers,-5.0,220.0
20211101,Cavaliers,away,Hornets,5.0,220.0
20211101,Knicks,home,Raptors,-7.5,208.0
20211101,Raptors,away,Knicks,7.5,208.0
20211101,Pacers,home,Spurs,-2.5,216.0
20211101,Spurs,away,Pacers,2.5,216.0
20211101,Seventysixers,home,Trailblazers,2.0,219.5
20211101,Trailblazers,away,Seventysixers,-2.0,219.5
20211101,Timberwolves,home,Magic,-9.0,217.0
20211101,Magic,away,Timberwolves,9.0,217.0
20211102,Jazz,home,Kings,-9.0,220.0
20211102,Kings,away,Jazz,9.0,220.0
20211102,Lakers,home,Rockets,-10.5,217.0
20211102,Rockets,away,Lakers,10.5,217.0
20211102,Mavericks,home,Heat,2.5,210.0
20211102,Heat,away,Mavericks,-2.5,210.0
20211102,Pistons,home,Bucks,5.0,214.5
20211102,Bucks,away,Pistons,-5.0,214.5
20211102,Suns,home,Pelicans,-11.5,215.0
20211102,Pelicans,away,Suns,11.5,215.0
20211103,Cavaliers,home,Trailblazers,5.5,217.5
20211103,Trailblazers,away,Cavaliers,-5.5,217.5
20211103,Grizzlies,home,Nuggets,1.0,215.0
20211103,Nuggets,away,Grizzlies,-1.0,215.0
20211103,Kings,home,Pelicans,-5.0,219.5
20211103,Pelicans,away,Kings,5.0,219.5
20211103,Magic,home,Celtics,7.0,212.0
20211103,Celtics,away,Magic,-7.0,212.0
20211103,Nets,home,Hawks,-4.5,221.0
20211103,Hawks,away,Nets,4.5,221.0
20211103,Pacers,home,Knicks,-1.0,216.0
20211103,Knicks,away,Pacers,1.0,216.0
20211103,Seventysixers,home,Bulls,-2.5,215.5
20211103,Bulls,away,Seventysixers,2.5,215.5
20211103,Spurs,home,Mavericks,2.0,217.5
20211103,Mavericks,away,Spurs,-2.0,217.5
20211103,Timberwolves,home,Clippers,2.5,212.0
20211103,Clippers,away,Timberwolves,-2.5,212.0
20211103,Warriors,home,Hornets,-6.0,226.5
20211103,Hornets,away,Warriors,6.0,226.5
20211103,Wizards,home,Raptors,-3.5,212.5
20211103,Raptors,away,Wizards,3.5,212.5
20211104,Hawks,home,Jazz,1.0,220.5
20211104,Jazz,away,Hawks,-1.0,220.5
20211104,Heat,home,Celtics,-7.0,215.5
20211104,Celtics,away,Heat,7.0,215.5
20211104,Lakers,home,Thunder,-12.5,216.5
20211104,Thunder,away,Lakers,12.5,216.5
20211104,Pistons,home,Seventysixers,6.0,208.5
20211104,Seventysixers,away,Pistons,-6.0,208.5
20211104,Suns,home,Rockets,-10.5,217.5
20211104,Rockets,away,Suns,10.5,217.5
20211105,Bucks,home,Knicks,-5.0,217.5
20211105,Knicks,away,Bucks,5.0,217.5
20211105,Kings,home,Hornets,-1.5,227.0
20211105,Hornets,away,Kings,1.5,227.0
20211105,Magic,home,Spurs,3.5,212.0
