SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612738,BOS,Boston Celtics,0022400061,2024-10-22,BOS vs. NYK,W,240,132,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,6,3,3,15,23.0
22024,1610612752,NYK,New York Knicks,0022400061,2024-10-22,NYK @ BOS,L,241,109,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,11,12,-23.0
22024,1610612747,LAL,Los Angeles Lakers,0022400062,2024-10-22,LAL vs. MIN,W,240,110,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22,7.0
22024,1610612750,MIN,Minnesota Timberwolves,0022400062,2024-10-22,MIN @ LAL,L,239,103,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,-7.0
22024,1610612754,IND,Indiana Pacers,0022400063,2024-10-23,IND @ DET,W,241,115,42,83,0.506,9,31,0.29,22,25,0.88,7,32,39,32,10,8,15,23,6.0
22024,1610612765,DET,Detroit Pistons,0022400063,2024-10-23,DET vs. IND,L,241,109,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,12,21,-6.0
22024,1610612737,ATL,Atlanta Hawks,0022400064,2024-10-23,ATL vs. BKN,W,241,120,39,80,0.488,9,28,0.321,33,46,0.717,12,33,45,25,12,9,16,20,4.0
22024,1610612751,BKN,Brooklyn Nets,0022400064,2024-10-23,BKN @ ATL,L,240,116,40,91,0.44,17,43,0.395,19,25,0.76,12,31,43,21,8,6,17,32,-4.0
22024,1610612748,MIA,Miami Heat,0022400065,2024-10-23,MIA vs. ORL,L,240,97,32,82,0.39,11,34,0.324,22,29,0.759,9,32,41,24,5,8,11,19,-19.0
22024,1610612753,ORL,Orlando Magic,0022400065,2024-10-23,ORL @ MIA,W,238,116,41,96,0.427,18,49,0.367,16,22,0.727,18,39,57,28,8,8,11,21,19.0
22024,1610612749,MIL,Milwaukee Bucks,0022400066,2024-10-23,MIL @ PHI,W,239,124,43,80,0.538,16,37,0.432,22,31,0.71,8,38,46,27,4,9,14,23,15.0
22024,1610612755,PHI,Philadelphia 76ers,0022400066,2024-10-23,PHI vs. MIL,L,240,109,41,98,0.418,8,31,0.258,19,27,0.704,17,32,49,18,4,2,10,28,-15.0
22024,1610612739,CLE,Cleveland Cavaliers,0022400067,2024-10-23,CLE @ TOR,W,243,136,51,87,0.586,14,30,0.467,20,26,0.769,8,28,36,29,10,9,12,22,30.0
22024,1610612761,TOR,Toronto Raptors,0022400067,2024-10-23,TOR vs. CLE,L,240,106,36,86,0.419,12,31,0.387,22,29,0.759,14,24,38,25,8,6,18,24,-30.0
22024,1610612745,HOU,Houston Rockets,0022400068,2024-10-23,HOU vs. CHA,L,239,105,38,103,0.369,13,43,0.302,16,20,0.8,16,27,43,19,8,4,8,18,-5.0
22024,1610612766,CHA,Charlotte Hornets,0022400068,2024-10-23,CHA @ HOU,W,241,110,38,85,0.447,15,39,0.385,19,24,0.792,15,41,56,20,6,10,16,21,5.0
22024,1610612740,NOP,New Orleans Pelicans,0022400069,2024-10-23,NOP vs. CHI,W,241,123,45,97,0.464,14,37,0.378,19,21,0.905,7,35,42,29,15,10,11,17,12.0
22024,1610612741,CHI,Chicago Bulls,0022400069,2024-10-23,CHI @ NOP,L,242,111,42,86,0.488,10,34,0.294,17,25,0.68,9,38,47,26,4,2,21,16,-12.0
22024,1610612762,UTA,Utah Jazz,0022400070,2024-10-23,UTA vs. MEM,L,240,124,40,85,0.471,10,26,0.385,34,45,0.756,14,35,49,21,7,9,14,24,-2.0
22024,1610612763,MEM,Memphis Grizzlies,0022400070,2024-10-23,MEM @ UTA,W,239,126,43,91,0.473,17,45,0.378,23,32,0.719,13,28,41,28,7,5,12,35,2.0
22024,1610612746,LAC,LA Clippers,0022400071,2024-10-23,LAC vs. PHX,L,266,113,42,92,0.457,8,29,0.276,21,30,0.7,13,38,51,27,9,1,21,29,-3.0
22024,1610612756,PHX,Phoenix Suns,0022400071,2024-10-23,PHX @ LAC,W,264,116,38,78,0.487,15,38,0.395,25,34,0.735,4,38,42,25,12,9,22,23,3.0
22024,1610612744,GSW,Golden State Warriors,0022400072,2024-10-23,GSW @ POR,W,240,140,48,93,0.516,20,48,0.417,24,30,0.8,15,42,57,38,13,5,17,27,36.0
22024,1610612757,POR,Portland Trail Blazers,0022400072,2024-10-23,POR vs. GSW,L,240,104,36,92,0.391,8,34,0.235,24,30,0.8,13,29,42,21,10,4,17,22,-36.0
22024,1610612738,BOS,Boston Celtics,0022400073,2024-10-24,BOS @ WAS,W,240,122,42,90,0.467,17,45,0.378,21,27,0.778,12,37,49,21,7,3,14,19,20.0
