GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21900001,1610612740,Pelicans,NOP,New Orleans,265:00,0.515,0.196,0.167,0.271,0.476,0.369,0.141,0.4
21900001,1610612761,Raptors,TOR,Toronto,265:00,0.476,0.369,0.141,0.246,0.515,0.196,0.167,0.271
21900002,1610612746,Clippers,LAC,LA,240:00,0.586,0.296,0.148,0.256,0.512,0.247,0.15,0.28
21900002,1610612747,Lakers,LAL,Los Angeles,240:00,0.512,0.247,0.15,0.18,0.586,0.296,0.148,0.256
21900003,1610612741,Bulls,CHI,Chicago,240:00,0.51,0.21,0.112,0.351,0.642,0.182,0.181,0.273
21900003,1610612766,Hornets,CHA,Charlotte,240:00,0.642,0.182,0.181,0.205,0.51,0.21,0.112,0.404
21900004,1610612754,Pacers,IND,Indiana,240:00,0.506,0.27,0.143,0.2,0.596,0.423,0.179,0.275
21900004,1610612765,Pistons,DET,Detroit,240:00,0.596,0.423,0.179,0.25,0.506,0.27,0.143,0.26
21900005,1610612739,Cavaliers,CLE,Cleveland,240:00,0.426,0.17,0.159,0.172,0.483,0.221,0.13,0.167
21900005,1610612753,Magic,ORL,Orlando,240:00,0.483,0.221,0.13,0.13,0.426,0.17,0.159,0.224
21900006,1610612750,Timberwolves,MIN,Minnesota,265:00,0.486,0.259,0.107,0.194,0.55,0.257,0.135,0.22
21900006,1610612751,Nets,BKN,Brooklyn,265:00,0.55,0.257,0.135,0.169,0.486,0.259,0.107,0.274
21900007,1610612748,Heat,MIA,Miami,240:00,0.512,0.459,0.187,0.234,0.455,0.337,0.205,0.25
21900007,1610612763,Grizzlies,MEM,Memphis,240:00,0.455,0.337,0.205,0.161,0.512,0.459,0.187,0.255
21900008,1610612738,Celtics,BOS,Boston,240:00,0.406,0.378,0.104,0.152,0.476,0.424,0.161,0.346
21900008,1610612755,76ers,PHI,Philadelphia,240:00,0.476,0.424,0.161,0.231,0.406,0.378,0.104,0.227
21900009,1610612742,Mavericks,DAL,Dallas,240:00,0.533,0.434,0.19,0.114,0.457,0.194,0.159,0.259
21900009,1610612764,Wizards,WAS,Washington,240:00,0.457,0.194,0.159,0.19,0.533,0.434,0.19,0.182
21900010,1610612752,Knicks,NYK,New York,240:00,0.521,0.191,0.126,0.098,0.548,0.434,0.191,0.222
21900010,1610612759,Spurs,SAS,San Antonio,240:00,0.548,0.434,0.191,0.222,0.521,0.191,0.126,0.137
21900011,1610612760,Thunder,OKC,Oklahoma City,240:00,0.446,0.373,0.151,0.125,0.478,0.222,0.111,0.204
21900011,1610612762,Jazz,UTA,Utah,240:00,0.478,0.222,0.111,0.204,0.446,0.373,0.151,0.232
21900012,1610612756,Suns,PHX,Phoenix,240:00,0.556,0.184,0.126,0.18,0.448,0.299,0.238,0.288
21900012,1610612758,Kings,SAC,Sacramento,240:00,0.448,0.299,0.238,0.203,0.556,0.184,0.126,0.26
21900013,1610612743,Nuggets,DEN,Denver,240:00,0.531,0.333,0.196,0.22,0.454,0.264,0.192,0.314
21900013,1610612757,Trail Blazers,POR,Portland,240:00,0.454,0.264,0.192,0.255,0.531,0.333,0.196,0.26
21900014,1610612737,Hawks,ATL,Atlanta,240:00,0.576,0.244,0.13,0.182,0.471,0.259,0.14,0.255
21900014,1610612765,Pistons,DET,Detroit,240:00,0.471,0.259,0.14,0.176,0.576,0.244,0.13,0.273
21900015,1610612745,Rockets,HOU,Houston,240:00,0.456,0.433,0.126,0.156,0.545,0.182,0.098,0.155
21900015,1610612749,Bucks,MIL,Milwaukee,240:00,0.545,0.182,0.098,0.103,0.456,0.433,0.126,0.219
21900016,1610612744,Warriors,GSW,Golden State,240:00,0.47,0.303,0.118,0.246,0.738,0.375,0.181,0.182
21900016,1610612746,Clippers,LAC,LA,240:00,0.738,0.375,0.181,0.091,0.47,0.303,0.118,0.344
21900017,1610612738,Celtics,BOS,Boston,240:00,0.445,0.147,0.095,0.309,0.59,0.218,0.222,0.14
21900017,1610612761,Raptors,TOR,Toronto,240:00,0.59,0.218,0.222,0.116,0.445,0.147,0.095,0.353
21900018,1610612750,Timberwolves,MIN,Minnesota,240:00,0.538,0.341,0.156,0.25,0.512,0.31,0.188,0.218
21900018,1610612766,Hornets,CHA,Charlotte,240:00,0.512,0.31,0.188,0.164,0.538,0.341,0.156,0.327
21900019,1610612751,Nets,BKN,Brooklyn,240:00,0.577,0.436,0.241,0.234,0.574,0.346,0.236,0.24
21900019,1610612752,Knicks,NYK,New York,240:00,0.574,0.346,0.236,0.18,0.577,0.436,0.241,0.277
21900020,1610612741,Bulls,CHI,Chicago,240:00,0.495,0.258,0.129,0.161,0.468,0.213,0.17,0.31
21900020,1610612763,Grizzlies,MEM,Memphis,240:00,0.468,0.213,0.17,0.259,0.495,0.258,0.129,0.25
21900021,1610612740,Pelicans,NOP,New Orleans,240:00,0.536,0.153,0.131,0.218,0.559,0.28,0.106,0.264
21900021,1610612742,Mavericks,DAL,Dallas,240:00,0.559,0.28,0.106,0.226,0.536,0.153,0.131,0.291
21900022,1610612760,Thunder,OKC,Oklahoma City,240:00,0.428,0.265,0.182,0.135,0.459,0.103,0.138,0.259
21900022,1610612764,Wizards,WAS,Washington,240:00,0.459,0.103,0.138,0.138,0.428,0.265,0.182,0.173
21900023,1610612743,Nuggets,DEN,Denver,265:00,0.429,0.391,0.123,0.133,0.442,0.372,0.167,0.25
21900023,1610612756,Suns,PHX,Phoenix,265:00,0.442,0.372,0.167,0.192,0.429,0.391,0.123,0.25
21900024,1610612757,Trail Blazers,POR,Portland,240:00,0.606,0.259,0.151,0.119,0.511,0.31,0.165,0.255
21900024,1610612758,Kings,SAC,Sacramento,240:00,0.511,0.31,0.165,0.255,0.606,0.259,0.151,0.19
21900025,1610612747,Lakers,LAL,Los Angeles,240:00,0.442,0.279,0.141,0.2,0.471,0.3,0.232,0.19
21900025,1610612762,Jazz,UTA,Utah,240:00,0.471,0.3,0.232,0.071,0.442,0.279,0.141,0.291
21900026,1610612748,Heat,MIA,Miami,265:00,0.535,0.356,0.142,0.129,0.527,0.372,0.147,0.105
21900026,1610612749,Bucks,MIL,Milwaukee,265:00,0.527,0.372,0.147,0.088,0.535,0.356,0.142,0.242
21900027,1610612755,76ers,PHI,Philadelphia,240:00,0.557,0.345,0.189,0.122,0.592,0.474,0.209,0.186
21900027,1610612765,Pistons,DET,Detroit,240:00,0.592,0.474,0.209,0.116,0.557,0.345,0.189,0.306
21900028,1610612737,Hawks,ATL,Atlanta,240:00,0.565,0.179,0.181,0.209,0.379,0.263,0.097,0.323
21900028,1610612753,Magic,ORL,Orlando,240:00,0.379,0.263,0.097,0.262,0.565,0.179,0.181,0.233
21900029,1610612738,Celtics,BOS,Boston,240:00,0.532,0.312,0.123,0.224,0.421,0.415,0.229,0.393
21900029,1610612752,Knicks,NYK,New York,240:00,0.421,0.415,0.229,0.286,0.532,0.312,0.123,0.293
21900030,1610612739,Cavaliers,CLE,Cleveland,240:00,0.569,0.363,0.19,0.261,0.506,0.149,0.164,0.24
21900030,1610612754,Pacers,IND,Indiana,240:00,0.506,0.149,0.164,0.12,0.569,0.363,0.19,0.326
21900031,1610612741,Bulls,CHI,Chicago,240:00,0.345,0.258,0.135,0.169,0.555,0.22,0.231,0.227
