,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0022000001,1610612744,Warriors,GSW,Golden State,240:00,0.424,0.232,0.158,0.203,0.538,0.348,0.177,0.315
1,0022000001,1610612751,Nets,BKN,Brooklyn,240:00,0.538,0.348,0.177,0.241,0.424,0.232,0.158,0.281
1,0022000002,1610612746,Clippers,LAC,LA,240:00,0.548,0.204,0.15,0.212,0.525,0.383,0.18,0.25
0,0022000002,1610612747,Lakers,LAL,Los Angeles,240:00,0.525,0.383,0.18,0.182,0.548,0.204,0.15,0.269
1,0022000003,1610612738,Celtics,BOS,Boston,240:00,0.564,0.109,0.068,0.182,0.589,0.2,0.155,0.333
0,0022000003,1610612749,Bucks,MIL,Milwaukee,240:00,0.589,0.2,0.155,0.244,0.564,0.109,0.068,0.236
1,0022000004,1610612742,Mavericks,DAL,Dallas,240:00,0.476,0.306,0.117,0.118,0.551,0.342,0.183,0.205
0,0022000004,1610612756,Suns,PHX,Phoenix,240:00,0.551,0.342,0.183,0.136,0.476,0.306,0.117,0.157
0,0022000005,1610612740,Pelicans,NOP,New Orleans,240:00,0.462,0.423,0.189,0.224,0.613,0.307,0.173,0.184
1,0022000005,1610612748,Heat,MIA,Miami,240:00,0.613,0.307,0.173,0.105,0.462,0.423,0.189,0.327
1,0022000006,1610612744,Warriors,GSW,Golden State,240:00,0.394,0.253,0.099,0.152,0.667,0.289,0.166,0.283
0,0022000006,1610612749,Bucks,MIL,Milwaukee,240:00,0.667,0.289,0.166,0.239,0.394,0.253,0.099,0.197
0,0022000007,1610612738,Celtics,BOS,Boston,240:00,0.418,0.194,0.148,0.317,0.638,0.408,0.166,0.282
1,0022000007,1610612751,Nets,BKN,Brooklyn,240:00,0.638,0.408,0.166,0.231,0.418,0.194,0.148,0.413
1,0022000008,1610612742,Mavericks,DAL,Dallas,240:00,0.572,0.313,0.09,0.07,0.665,0.264,0.167,0.409
0,0022000008,1610612747,Lakers,LAL,Los Angeles,240:00,0.665,0.264,0.167,0.386,0.572,0.313,0.09,0.07
1,0022000009,1610612743,Nuggets,DEN,Denver,240:00,0.525,0.383,0.133,0.213,0.682,0.324,0.217,0.324
0,0022000009,1610612746,Clippers,LAC,LA,240:00,0.682,0.324,0.217,0.265,0.525,0.383,0.133,0.298
0,0022000010,1610612739,Cavaliers,CLE,Cleveland,240:00,0.609,0.23,0.197,0.227,0.589,0.167,0.145,0.2
1,0022000010,1610612766,Hornets,CHA,Charlotte,240:00,0.589,0.167,0.145,0.16,0.609,0.23,0.197,0.341
0,0022000011,1610612752,Knicks,NYK,New York,240:00,0.529,0.271,0.151,0.102,0.532,0.309,0.118,0.308
1,0022000011,1610612754,Pacers,IND,Indiana,240:00,0.532,0.309,0.118,0.192,0.529,0.271,0.151,0.102
1,0022000012,1610612748,Heat,MIA,Miami,240:00,0.548,0.229,0.207,0.167,0.534,0.341,0.166,0.283
0,0022000012,1610612753,Magic,ORL,Orlando,240:00,0.534,0.341,0.166,0.208,0.548,0.229,0.207,0.19
1,0022000013,1610612755,76ers,PHI,Philadelphia,240:00,0.517,0.345,0.166,0.2,0.535,0.271,0.182,0.184
0,0022000013,1610612764,Wizards,WAS,Washington,240:00,0.535,0.271,0.182,0.102,0.517,0.345,0.166,0.28
1,0022000014,1610612740,Pelicans,NOP,New Orleans,240:00,0.644,0.25,0.25,0.186,0.506,0.135,0.194,0.275
0,0022000014,1610612761,Raptors,TOR,Toronto,240:00,0.506,0.135,0.194,0.137,0.644,0.25,0.25,0.302
1,0022000015,1610612737,Hawks,ATL,Atlanta,240:00,0.625,0.363,0.213,0.205,0.46,0.322,0.157,0.25
0,0022000015,1610612741,Bulls,CHI,Chicago,240:00,0.46,0.322,0.157,0.154,0.625,0.363,0.213,0.231
1,0022000016,1610612745,Rockets,HOU,Houston,240:00,0.582,0.342,0.162,0.182,0.533,0.275,0.178,0.404
0,0022000016,1610612760,Thunder,OKC,Oklahoma City,240:00,0.533,0.275,0.178,0.365,0.582,0.342,0.162,0.182
0,0022000017,1610612759,Spurs,SAS,San Antonio,240:00,0.558,0.305,0.099,0.163,0.568,0.189,0.101,0.143
1,0022000017,1610612763,Grizzlies,MEM,Memphis,240:00,0.568,0.189,0.101,0.102,0.558,0.305,0.099,0.224
0,0022000018,1610612750,Timberwolves,MIN,Minnesota,240:00,0.494,0.318,0.12,0.235,0.527,0.086,0.144,0.235
