,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1,0020900001,1610612738,Celtics,BOS,Boston,240:00,0.736,0.264,0.484,0.211,0.284,0.158,0.232,0.116,0.274,0.478,0.522,1.0,0.0,0.625,0.375
0,0020900001,1610612739,Cavaliers,CLE,Cleveland,240:00,0.757,0.243,0.517,0.157,0.202,0.124,0.281,0.225,0.36,0.652,0.348,0.333,0.667,0.586,0.414
1,0020900002,1610612742,Mavericks,DAL,Dallas,240:00,0.763,0.237,0.571,0.22,0.132,0.121,0.297,0.044,0.352,0.538,0.462,0.5,0.5,0.533,0.467
0,0020900002,1610612764,Wizards,WAS,Washington,240:00,0.845,0.155,0.686,0.353,0.118,0.147,0.196,0.118,0.333,0.457,0.543,0.75,0.25,0.487,0.513
1,0020900003,1610612745,Rockets,HOU,Houston,240:00,0.778,0.222,0.575,0.115,0.172,0.184,0.253,0.264,0.46,0.52,0.48,1.0,0.0,0.6,0.4
0,0020900003,1610612757,Trail Blazers,POR,Portland,240:00,0.727,0.273,0.479,0.229,0.313,0.083,0.208,0.219,0.25,0.565,0.435,1.0,0.0,0.697,0.303
1,0020900004,1610612746,Clippers,LAC,Los Angeles,240:00,0.828,0.172,0.783,0.326,0.098,0.13,0.12,0.141,0.457,0.667,0.333,1.0,0.0,0.692,0.308
0,0020900004,1610612747,Lakers,LAL,Los Angeles,240:00,0.8,0.2,0.626,0.121,0.121,0.121,0.253,0.242,0.505,0.452,0.548,0.75,0.25,0.486,0.514
1,0020900005,1610612737,Hawks,ATL,Atlanta,240:00,0.862,0.138,0.65,0.2,0.175,0.15,0.175,0.267,0.45,0.615,0.385,0.857,0.143,0.652,0.348
0,0020900005,1610612754,Pacers,IND,Indiana,240:00,0.753,0.247,0.532,0.183,0.275,0.156,0.193,0.119,0.349,0.483,0.517,0.9,0.1,0.59,0.41
1,0020900006,1610612753,Magic,ORL,Orlando,240:00,0.642,0.358,0.483,0.1,0.4,0.208,0.117,0.117,0.383,0.483,0.517,0.875,0.125,0.622,0.378
0,0020900006,1610612755,76ers,PHI,Philadelphia,240:00,0.769,0.231,0.604,0.189,0.198,0.123,0.198,0.189,0.415,0.469,0.531,0.571,0.429,0.487,0.513
1,0020900007,1610612739,Cavaliers,CLE,Cleveland,240:00,0.735,0.265,0.44,0.088,0.297,0.099,0.264,0.22,0.352,0.5,0.5,1.0,0.0,0.655,0.345
0,0020900007,1610612761,Raptors,TOR,Toronto,240:00,0.787,0.213,0.574,0.198,0.149,0.119,0.277,0.149,0.376,0.655,0.345,0.8,0.2,0.676,0.324
1,0020900008,1610612738,Celtics,BOS,Boston,240:00,0.618,0.382,0.478,0.174,0.359,0.174,0.163,0.293,0.304,0.773,0.227,1.0,0.0,0.848,0.152
0,0020900008,1610612766,Bobcats,CHA,Charlotte,240:00,0.865,0.135,0.78,0.305,0.0,0.136,0.22,0.169,0.475,0.435,0.565,0.0,0.0,0.435,0.565
1,0020900009,1610612748,Heat,MIA,Miami,240:00,0.819,0.181,0.696,0.33,0.183,0.113,0.122,0.165,0.365,0.4,0.6,0.714,0.286,0.447,0.553
0,0020900009,1610612752,Knicks,NYK,New York,240:00,0.552,0.448,0.495,0.129,0.323,0.183,0.183,0.183,0.366,0.391,0.609,1.0,0.0,0.576,0.424
0,0020900010,1610612763,Grizzlies,MEM,Memphis,240:00,0.833,0.167,0.649,0.216,0.081,0.095,0.27,0.095,0.432,0.375,0.625,0.5,0.5,0.385,0.615
1,0020900010,1610612765,Pistons,DET,Detroit,240:00,0.778,0.222,0.646,0.333,0.188,0.177,0.167,0.219,0.313,0.516,0.484,0.667,0.333,0.541,0.459
1,0020900011,1610612750,Timberwolves,MIN,Minnesota,240:00,0.925,0.075,0.695,0.211,0.032,0.168,0.274,0.295,0.484,0.394,0.606,1.0,0.0,0.412,0.588
0,0020900011,1610612751,Nets,NJN,New Jersey,240:00,0.901,0.099,0.731,0.194,0.0,0.086,0.269,0.086,0.538,0.588,0.412,0.0,0.0,0.588,0.412
0,0020900012,1610612758,Kings,SAC,Sacramento,240:00,0.797,0.203,0.652,0.157,0.101,0.022,0.247,0.112,0.494,0.379,0.621,0.667,0.333,0.406,0.594
1,0020900012,1610612760,Thunder,OKC,Oklahoma City,240:00,0.816,0.184,0.608,0.235,0.235,0.108,0.157,0.137,0.373,0.387,0.613,1.0,0.0,0.513,0.487
