gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench
0022400061,1610612738,Boston,Celtics,BOS,celtics,143:26,40,65,0.615,26,41,0.634,7,8,0.875,4,17,21,24,5,2,2,9,113,Starters
0022400061,1610612738,Boston,Celtics,BOS,celtics,143:26,5,17,0.294,2,11,0.182,0,0,0.0,4,8,12,4,0,0,0,4,12,Bench
0022400061,1610612752,New York,Knicks,NYK,knicks,141:24,26,49,0.531,4,17,0.235,10,13,0.769,1,16,17,13,1,0,6,7,66,Starters
0022400061,1610612752,New York,Knicks,NYK,knicks,141:24,17,29,0.586,7,13,0.538,2,3,0.667,4,13,17,7,1,3,5,5,43,Bench
0022400062,1610612747,Los Angeles,Lakers,LAL,lakers,177:34,35,79,0.443,4,23,0.174,17,21,0.81,10,26,36,18,6,7,4,12,91,Starters
0022400062,1610612747,Los Angeles,Lakers,LAL,lakers,177:34,6,11,0.545,1,4,0.25,2,2,1.0,4,2,6,2,1,1,1,4,15,Bench
0022400062,1610612750,Minnesota,Timberwolves,MIN,timberwolves,146:56,24,58,0.414,6,24,0.25,13,17,0.765,8,27,35,12,2,1,11,16,67,Starters
0022400062,1610612750,Minnesota,Timberwolves,MIN,timberwolves,146:56,11,27,0.407,7,17,0.412,7,10,0.7,4,8,12,5,2,0,4,6,36,Bench
0022400063,1610612754,Indiana,Pacers,IND,pacers,156:33,26,59,0.441,6,24,0.25,11,12,0.917,5,21,26,24,8,7,9,13,69,Starters
0022400063,1610612754,Indiana,Pacers,IND,pacers,156:33,14,20,0.7,3,6,0.5,9,11,0.818,2,10,12,8,2,1,6,10,40,Bench
0022400063,1610612765,Detroit,Pistons,DET,pistons,161:57,29,62,0.468,7,21,0.333,20,23,0.87,9,17,26,18,3,1,7,13,85,Starters
0022400063,1610612765,Detroit,Pistons,DET,pistons,161:57,8,25,0.32,2,12,0.167,4,5,0.8,3,8,11,3,3,1,5,8,22,Bench
0022400064,1610612737,Atlanta,Hawks,ATL,hawks,153:22,23,52,0.442,6,17,0.353,22,33,0.667,7,26,33,20,12,4,11,13,74,Starters
0022400064,1610612737,Atlanta,Hawks,ATL,hawks,153:22,16,28,0.571,3,11,0.273,11,13,0.846,5,7,12,5,0,5,5,7,46,Bench
0022400064,1610612751,Brooklyn,Nets,BKN,nets,153:50,29,67,0.433,12,32,0.375,7,9,0.778,7,18,25,19,6,4,14,21,77,Starters
0022400064,1610612751,Brooklyn,Nets,BKN,nets,153:50,11,24,0.458,5,11,0.455,12,16,0.75,5,13,18,2,2,2,3,11,39,Bench
0022400065,1610612748,Miami,Heat,MIA,heat,136:09,19,53,0.358,5,23,0.217,17,22,0.773,5,20,25,15,2,5,6,7,60,Starters
0022400065,1610612748,Miami,Heat,MIA,heat,136:09,13,29,0.448,6,11,0.545,5,7,0.714,4,12,16,9,3,3,5,12,37,Bench
0022400065,1610612753,Orlando,Magic,ORL,magic,118:36,28,56,0.5,9,23,0.391,13,15,0.867,10,22,32,15,7,4,4,11,78,Starters
0022400065,1610612753,Orlando,Magic,ORL,magic,118:36,13,40,0.325,9,26,0.346,3,7,0.429,8,17,25,13,1,4,7,10,38,Bench
0022400066,1610612749,Milwaukee,Bucks,MIL,bucks,169:53,29,54,0.537,13,28,0.464,21,30,0.7,5,33,38,22,0,7,10,16,92,Starters
0022400066,1610612749,Milwaukee,Bucks,MIL,bucks,169:53,14,26,0.538,3,9,0.333,1,1,1.0,3,5,8,5,4,2,4,7,32,Bench
0022400066,1610612755,Philadelphia,76ers,PHI,sixers,132:01,24,66,0.364,3,18,0.167,10,14,0.714,8,19,27,5,1,1,3,15,61,Starters
0022400066,1610612755,Philadelphia,76ers,PHI,sixers,132:01,17,32,0.531,5,13,0.385,9,13,0.692,9,13,22,13,3,1,7,13,48,Bench
0022400067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,123:06,26,52,0.5,5,16,0.313,15,18,0.833,7,20,27,14,8,8,6,12,72,Starters
