,table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable,COLUMN_COMMENT
0,firstdb,main,players_traditional,column00,1,,YES,BIGINT,,,64.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,firstdb,main,players_traditional,gameId,2,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,firstdb,main,players_traditional,teamId,3,,YES,BIGINT,,,64.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,firstdb,main,players_traditional,teamCity,4,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,firstdb,main,players_traditional,teamName,5,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,firstdb,main,players_traditional,teamTricode,6,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,firstdb,main,players_traditional,teamSlug,7,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,firstdb,main,players_traditional,personId,8,,YES,BIGINT,,,64.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,firstdb,main,players_traditional,firstName,9,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,firstdb,main,players_traditional,familyName,10,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
