,PLAYER_NAME,minutes,points,assists,steals,blocks,rebounds,THREEPM,EFG_PCT,FT_PCT,DD
0,Max Strus,28,10,0,1,1,1,1,0.5,0.5,0
1,Evan Mobley,35,14,5,3,4,10,0,0.538,,1
2,Jarrett Allen,21,10,0,1,2,7,0,0.667,0.667,0
3,Donovan Mitchell,36,38,9,1,0,5,4,0.714,0.8,0
4,Georges Niang,27,12,1,0,0,5,2,0.556,1.0,0
5,Isaac Okoro,23,5,2,2,0,1,1,0.833,,0
6,Caris LeVert,30,13,4,0,1,5,0,0.417,0.75,0
7,Dean Wade,2,0,0,0,0,0,0,0.0,,0
8,Tristan Thompson,2,0,0,0,0,1,0,0.0,,0
9,Damian Jones,0,0,0,0,0,0,0,,,0
10,Sam Merrill,0,0,0,0,0,0,0,,,0
11,Obi Toppin,20,6,1,0,0,4,0,0.5,,0
12,Myles Turner,30,27,0,2,2,9,4,0.786,0.833,0
13,Tyrese Haliburton,34,18,13,2,0,2,0,0.357,0.889,1
14,Buddy Hield,30,14,2,0,1,5,4,0.778,,0
15,Andrew Nembhard,17,6,3,0,0,0,0,0.4,1.0,0
16,Jalen Smith,17,13,2,0,1,5,1,0.813,,0
17,Aaron Nesmith,27,13,0,2,1,5,2,0.75,0.25,0
18,Isaiah Jackson,0,0,0,0,0,0,0,,,0
19,T.J. McConnell,0,0,0,0,0,0,0,,,0
20,Jordan Nwora,0,0,0,0,0,0,0,,,0
21,Ben Sheppard,0,0,0,0,0,0,0,,,0
22,Daniel Theis,0,0,0,0,0,0,0,,,0
23,Jarace Walker,0,0,0,0,0,0,0,,,0
24,Khris Middleton,21,12,4,0,0,9,2,0.6,,0
25,Giannis Antetokounmpo,35,22,6,0,1,8,3,0.75,0.538,0
26,Brook Lopez,35,13,0,1,9,5,4,0.4,0.5,0
27,Malik Beasley,22,0,3,0,0,3,0,0.0,,0
28,Damian Lillard,36,30,4,1,1,4,4,0.6,1.0,0
29,Pat Connaughton,23,2,2,1,0,2,0,0.25,,0
30,Bobby Portis,16,4,0,2,0,2,0,0.2,,0
31,Jae Crowder,23,14,2,1,0,6,4,0.875,,0
32,Cameron Payne,11,0,1,0,0,0,0,0.0,,0
33,MarJon Beauchamp,13,13,2,0,0,2,3,0.929,0.0,0
34,Thanasis Antetokounmpo,0,0,0,0,0,0,0,,,0
35,AJ Green,0,0,0,0,0,0,0,,,0
36,Andre Jackson Jr.,0,0,0,0,0,0,0,,,0
37,Chris Livingston,0,0,0,0,0,0,0,,,0
38,Robin Lopez,0,0,0,0,0,0,0,,,0
39,Josh Hart,35,6,5,3,1,10,0,0.222,1.0,0
40,Julius Randle,38,16,5,2,0,12,1,0.275,0.556,1
41,Mitchell Robinson,29,0,1,0,0,15,0,0.0,,0
42,Quentin Grimes,33,17,2,0,0,4,5,0.773,,0
43,Jalen Brunson,41,45,4,1,0,5,2,0.6,0.818,0
44,Immanuel Quickley,21,14,1,0,0,3,1,0.55,1.0,0
45,Isaiah Hartenstein,18,4,0,0,0,3,0,0.667,,0
46,Miles McBride,2,0,0,0,0,0,0,0.0,,0
47,Ryan Arcidiacono,0,0,0,0,0,0,0,,,0
48,Evan Fournier,0,0,0,0,0,0,0,,,0
