,TEAM_ABBREVIATION,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,PLUS_MINUS,PTS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
0,PHI,42020,0042000105,2021-06-02,PHI vs. WAS,17.0,,0.565,0.512,0.087,0.174,0.544,0.418,0.148,0.205,0.5768000000000001,0.3334,0.11279999999999998,0.1948,0.5006,0.3302,0.12840000000000001,0.2862,5
1,CHA,22017,0021700454,2017-12-20,CHA vs. TOR,-18.0,111.0,0.5,0.412,0.115,0.17,0.626,0.198,0.136,0.289,0.4717272727272727,0.28863636363636364,0.13518181818181818,0.2048181818181818,0.5328181818181819,0.2222727272727273,0.15854545454545457,0.22181818181818186,31
2,WAS,22010,0021000904,2011-03-02,WAS vs. GSW,-4.0,,0.427,0.404,0.096,0.193,0.465,0.4,0.157,0.353,0.47072727272727266,0.24863636363636366,0.13854545454545455,0.22772727272727275,0.5174545454545454,0.36590909090909096,0.13945454545454547,0.2981818181818181,60
3,DET,22019,0021900004,2019-10-23,DET @ IND,9.0,119.0,0.596,0.423,0.179,0.25,0.506,0.27,0.143,0.26,0.596,0.423,0.179,0.25,0.506,0.27,0.143,0.26,1
4,WAS,22022,0022200172,2022-11-10,WAS vs. DAL,8.0,113.0,0.56,0.238,0.167,0.182,0.535,0.244,0.128,0.185,0.529,0.2561818181818182,0.13727272727272727,0.18754545454545457,0.5355454545454545,0.26172727272727275,0.12063636363636364,0.2405454545454546,12
5,BOS,22018,0021800707,2019-01-23,BOS vs. CLE,20.0,123.0,0.593,0.267,0.138,0.214,0.511,0.23,0.206,0.346,0.5476363636363636,0.21227272727272728,0.13572727272727272,0.2069090909090909,0.49872727272727263,0.2320909090909091,0.15454545454545454,0.28718181818181815,48
6,IND,22014,0021400099,2014-11-10,IND vs. UTA,11.0,,0.467,0.167,0.077,0.255,0.473,0.284,0.133,0.2,0.47375,0.24562499999999998,0.170625,0.253625,0.48,0.28125,0.1275,0.267625,8
7,IND,22011,0021100859,2012-04-11,IND @ CLE,6.0,,0.519,0.416,0.188,0.205,0.472,0.216,0.176,0.275,0.501090909090909,0.3277272727272727,0.15572727272727271,0.2381818181818182,0.5011818181818182,0.29300000000000004,0.15245454545454543,0.29963636363636365,58
8,MEM,22010,0021000530,2011-01-07,MEM vs. UTA,11.0,,0.524,0.329,0.134,0.283,0.514,0.425,0.233,0.439,0.47918181818181815,0.3249090909090909,0.1402727272727273,0.22772727272727272,0.5117272727272728,0.3146363636363636,0.18554545454545457,0.27018181818181825,36
9,NYK,22012,0021200928,2013-03-09,NYK vs. UTA,29.0,,0.593,0.4,0.13,0.205,0.436,0.269,0.208,0.294,0.48454545454545456,0.329,0.15609090909090909,0.25336363636363635,0.5055454545454545,0.315,0.1660909090909091,0.26281818181818184,60
