,GAME_ID,GAME_DATE,MATCHUP,HOME_EFG_PCT,HOME_FTA_RATE,HOME_TM_TOV_PCT,HOME_OREB_PCT,HOME_OPP_EFG_PCT,HOME_OPP_FTA_RATE,HOME_OPP_TOV_PCT,HOME_OPP_OREB_PCT,HOME_GAME_COUNT,AWAY_EFG_PCT,AWAY_FTA_RATE,AWAY_TM_TOV_PCT,AWAY_OREB_PCT,AWAY_OPP_EFG_PCT,AWAY_OPP_FTA_RATE,AWAY_OPP_TOV_PCT,AWAY_OPP_OREB_PCT,AWAY_GAME_COUNT,PLUS_MINUS,TOTAL_POINTS,HOME_SPREAD,OVER_UNDER
0,21400769,2015-02-08,MIN @ DET,0.532,0.278,0.164,0.261,0.546,0.447,0.155,0.385,52,0.546,0.447,0.155,0.231,0.532,0.278,0.164,0.283,51,-11.0,,-7.0,203.5
1,22200974,2023-03-06,ATL @ MIA,0.636,0.481,0.114,0.216,0.603,0.25,0.109,0.378,66,0.603,0.25,0.109,0.267,0.636,0.481,0.114,0.27,65,2.0,258.0,-2.5,230.5
2,21800414,2018-12-12,MIN @ SAC,0.692,0.372,0.108,0.214,0.586,0.29,0.106,0.362,27,0.586,0.29,0.106,0.255,0.692,0.372,0.108,0.31,28,11.0,271.0,2.0,228.0
3,21400868,2015-02-27,MIL @ LAL,0.506,0.259,0.123,0.184,0.414,0.333,0.113,0.276,57,0.414,0.333,0.113,0.224,0.506,0.259,0.123,0.224,58,8.0,,6.0,194.0
4,22100474,2021-12-22,DEN @ OKC,0.489,0.202,0.112,0.283,0.47,0.31,0.107,0.143,30,0.47,0.31,0.107,0.071,0.489,0.202,0.112,0.302,30,14.0,202.0,6.0,213.5
5,21600376,2016-12-14,LAC @ ORL,0.551,0.225,0.085,0.226,0.588,0.5,0.117,0.279,27,0.588,0.5,0.117,0.163,0.551,0.225,0.085,0.302,26,-5.0,,8.5,210.0
6,22100375,2021-12-08,DEN @ NOP,0.583,0.133,0.227,0.222,0.563,0.307,0.112,0.174,27,0.563,0.307,0.112,0.109,0.583,0.133,0.227,0.333,24,-6.0,234.0,2.0,214.5
7,21601148,2017-04-02,ATL @ BKN,0.451,0.244,0.202,0.154,0.419,0.288,0.196,0.151,77,0.419,0.288,0.196,0.151,0.451,0.244,0.202,0.212,77,9.0,173.0,2.5,215.0
8,21700167,2017-11-09,PHI @ SAC,0.495,0.301,0.085,0.143,0.511,0.31,0.165,0.264,11,0.511,0.31,0.165,0.245,0.495,0.301,0.085,0.232,11,-1.0,217.0,6.5,207.0
9,21600535,2017-01-04,MIA @ SAC,0.564,0.218,0.173,0.1,0.569,0.403,0.196,0.297,35,0.569,0.403,0.196,0.189,0.564,0.218,0.173,0.175,37,-5.0,,-7.5,203.0
10,21800822,2019-02-08,GSW @ PHX,0.416,0.297,0.112,0.284,0.568,0.432,0.171,0.348,57,0.568,0.432,0.171,0.196,0.416,0.297,0.112,0.373,54,-10.0,224.0,15.5,229.5
11,21200486,2013-01-04,HOU @ MIL,0.483,0.264,0.238,0.333,0.62,0.229,0.186,0.186,31,0.62,0.229,0.186,0.186,0.483,0.264,0.238,0.412,33,-14.0,,-1.0,213.0
12,21900649,2020-01-20,DEN @ MIN,0.489,0.154,0.095,0.204,0.539,0.133,0.136,0.347,43,0.539,0.133,0.136,0.265,0.489,0.154,0.095,0.222,43,-7.0,207.0,-2.5,222.5
13,22100030,2021-10-23,DET @ CHI,0.482,0.226,0.127,0.06,0.415,0.17,0.216,0.286,3,0.415,0.17,0.216,0.196,0.482,0.226,0.127,0.14,2,15.0,179.0,-8.0,213.5
14,21600776,2017-02-06,DAL @ DEN,0.565,0.19,0.156,0.233,0.481,0.215,0.116,0.106,51,0.481,0.215,0.116,0.064,0.565,0.19,0.156,0.326,51,23.0,197.0,-3.5,214.0
15,22000960,2021-05-01,MIA @ CLE,0.635,0.23,0.208,0.237,0.644,0.172,0.087,0.256,64,0.644,0.172,0.087,0.233,0.635,0.23,0.208,0.263,64,-17.0,231.0,11.5,209.0
16,21700266,2017-11-22,LAL @ SAC,0.612,0.165,0.173,0.238,0.596,0.192,0.174,0.163,18,0.596,0.192,0.174,0.093,0.612,0.165,0.173,0.333,19,11.0,215.0,1.0,208.0
17,21200769,2013-02-12,DEN @ TOR,0.53,0.277,0.179,0.333,0.553,0.235,0.2,0.444,52,0.553,0.235,0.2,0.4,0.53,0.277,0.179,0.378,53,1.0,,0.0,206.5
18,21601002,2017-03-14,POR @ NOP,0.513,0.375,0.053,0.087,0.375,0.342,0.168,0.175,67,0.375,0.342,0.168,0.14,0.513,0.375,0.053,0.109,66,23.0,,-4.0,215.0
19,21400393,2014-12-20,PHX @ NYK,0.438,0.182,0.161,0.309,0.513,0.295,0.174,0.341,29,0.513,0.295,0.174,0.273,0.438,0.182,0.161,0.364,28,-9.0,,6.5,198.5
20,22000448,2021-05-11,DEN @ CHA,0.522,0.22,0.167,0.306,0.572,0.313,0.168,0.227,69,0.572,0.313,0.168,0.227,0.522,0.22,0.167,0.347,69,-5.0,,6.0,223.0
21,42100103,2022-04-22,MIA @ ATL,0.588,0.263,0.115,0.122,0.516,0.183,0.144,0.415,3,0.516,0.183,0.144,0.208,0.588,0.263,0.115,0.146,3,1.0,221.0,1.5,222.0
22,42000313,2021-06-24,PHX @ LAC,0.524,0.293,0.127,0.222,0.444,0.144,0.115,0.25,16,0.444,0.144,0.115,0.196,0.524,0.293,0.127,0.267,13,14.0,,-1.5,221.0
23,21401071,2015-03-25,OKC @ SAS,0.653,0.216,0.105,0.289,0.433,0.156,0.104,0.204,71,0.433,0.156,0.104,0.185,0.653,0.216,0.105,0.289,72,39.0,,-7.5,215.0
24,21200138,2012-11-17,MIA @ PHX,0.462,0.266,0.177,0.188,0.592,0.268,0.201,0.171,11,0.592,0.268,0.201,0.114,0.462,0.266,0.177,0.271,11,-9.0,,6.0,202.0
25,22000836,2021-04-14,GSW @ OKC,0.516,0.272,0.196,0.321,0.674,0.242,0.127,0.222,55,0.674,0.242,0.127,0.2,0.516,0.272,0.196,0.377,55,-38.0,,12.0,224.5
26,22200307,2022-11-28,PHX @ SAC,0.574,0.205,0.154,0.182,0.585,0.149,0.16,0.311,19,0.585,0.149,0.16,0.244,0.574,0.205,0.154,0.205,20,-5.0,239.0,0.0,232.0
27,21700651,2018-01-16,DAL @ DEN,0.512,0.302,0.187,0.3,0.538,0.282,0.162,0.167,44,0.538,0.282,0.162,0.119,0.512,0.302,0.187,0.36,45,3.0,207.0,-5.5,210.0
28,21200006,2012-10-31,HOU @ DET,0.481,0.329,0.166,0.213,0.557,0.291,0.206,0.349,1,0.557,0.291,0.206,0.279,0.481,0.329,0.166,0.255,1,-9.0,,-1.5,192.5
29,21700061,2017-10-25,MEM @ DAL,0.561,0.392,0.117,0.098,0.542,0.333,0.19,0.214,5,0.542,0.333,0.19,0.143,0.561,0.392,0.117,0.171,4,9.0,197.0,3.0,197.0
30,21401183,2015-04-10,SAC @ OKC,0.505,0.247,0.071,0.281,0.512,0.346,0.168,0.304,79,0.512,0.346,0.168,0.304,0.505,0.247,0.071,0.316,79,13.0,,-13.5,218.0
31,22000426,2021-02-15,BKN @ SAC,0.594,0.135,0.147,0.326,0.725,0.135,0.15,0.3,27,0.725,0.135,0.15,0.225,0.594,0.135,0.147,0.413,29,-11.0,,5.0,242.5
32,21501089,2016-03-26,CHA @ MIL,0.464,0.179,0.099,0.188,0.662,0.284,0.113,0.222,74,0.662,0.284,0.113,0.139,0.464,0.179,0.099,0.313,73,-24.0,,3.5,203.0
33,21500220,2015-11-25,MEM @ HOU,0.493,0.38,0.206,0.136,0.506,0.288,0.173,0.256,15,0.506,0.288,0.173,0.209,0.493,0.38,0.206,0.182,16,-9.0,,-3.5,197.0
34,22000820,2021-04-12,WAS @ UTA,0.571,0.365,0.135,0.18,0.572,0.311,0.078,0.2,54,0.572,0.311,0.078,0.178,0.571,0.365,0.135,0.24,53,-4.0,,-10.5,234.0
35,41500221,2016-05-01,POR @ GSW,0.533,0.264,0.123,0.327,0.454,0.216,0.086,0.3,6,0.454,0.216,0.086,0.167,0.533,0.264,0.123,0.347,7,12.0,,-9.5,210.0
36,21201118,2013-04-03,DEN @ UTA,0.5,0.214,0.106,0.17,0.61,0.438,0.15,0.286,76,0.61,0.438,0.15,0.229,0.5,0.214,0.106,0.234,75,-17.0,,-3.0,205.0
37,21300829,2014-02-22,IND @ MIL,0.476,0.386,0.146,0.283,0.506,0.5,0.093,0.235,55,0.506,0.5,0.093,0.196,0.476,0.386,0.146,0.321,55,-10.0,,11.5,189.5
38,21700713,2018-01-25,MIN @ GSW,0.657,0.169,0.159,0.25,0.485,0.178,0.094,0.333,49,0.485,0.178,0.094,0.228,0.657,0.169,0.159,0.295,51,13.0,239.0,-11.0,228.0
39,21800192,2018-11-12,NOP @ TOR,0.469,0.227,0.105,0.22,0.596,0.131,0.125,0.367,14,0.596,0.131,0.125,0.286,0.469,0.227,0.105,0.288,13,-16.0,236.0,-9.0,232.0
40,22000148,2021-01-10,TOR @ GSW,0.478,0.204,0.144,0.211,0.474,0.229,0.115,0.3,10,0.474,0.229,0.115,0.217,0.478,0.204,0.144,0.298,9,1.0,,3.0,234.0
41,21500581,2016-01-13,MIN @ HOU,0.54,0.507,0.16,0.186,0.513,0.385,0.214,0.304,40,0.513,0.385,0.214,0.304,0.54,0.507,0.16,0.256,40,3.0,,-8.0,206.5
42,22100285,2021-11-26,ATL @ MEM,0.473,0.209,0.127,0.172,0.657,0.236,0.119,0.282,19,0.657,0.236,0.119,0.231,0.473,0.209,0.127,0.224,20,-32.0,232.0,-1.5,225.0
43,22200165,2022-11-09,HOU @ TOR,0.485,0.196,0.128,0.349,0.494,0.369,0.164,0.367,12,0.494,0.369,0.164,0.327,0.485,0.196,0.128,0.46,12,7.0,225.0,-10.0,224.0
