,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
0,HOU,Nene,22017,0021700960,2018-03-06,HOU @ OKC,16.983333333333334,10.865,0.6,0.44,14.3,0.3,0.469,0.063,0.148,0.222,0.6428571428571429,0.3688571428571429,9.242857142857144,0.0349,0.4314285714285714,0.28271428571428575,0.12628571428571428,0.20228571428571432,54
1,PHX,Eric Bledsoe,22014,0021401216,2015-04-14,PHX vs. LAC,33.38333333333333,35.43333333333334,0.286,,7.4,0.029,,,,,0.46820000000000006,,12.7,0.013499999999999998,,,,,81
2,ATL,Jeff Teague,22010,0021000008,2010-10-27,ATL @ MEM,16.05,,0.5,,25.0,0.0,,,,,,,,,,,,,0
3,SAC,Alex Len,22022,0022200537,2022-12-30,SAC vs. UTA,0.0,2.361666666666667,,,,0.0,,,,,0.29175,0.14225,12.5,0.0333,0.41200000000000003,0.17825,0.05575,0.13675,29
4,TOR,Thaddeus Young,22022,0022200665,2023-01-17,TOR @ MIL,0.0,4.533333333333333,,,,0.0,,,,,0.49275,0.584,4.55,0.032,0.5835,0.2955,0.1475,0.43374999999999997,44
5,WAS,Otto Porter Jr.,22013,0021300468,2014-01-01,WAS vs. DAL,11.083333333333334,10.513333333333332,0.5,,25.0,0.0,,,,,0.25922222222222224,,5.4,0.0361,,,,,10
6,MIA,Jaime Jaquez Jr.,22023,0022300996,2024-03-20,MIA @ CLE,31.2,28.985000000000003,0.6,0.265,12.5,0.0,0.636,0.364,0.161,0.211,0.4753000000000001,0.2673,7.029999999999999,0.0309,0.5226,0.20559999999999995,0.12879999999999997,0.21080000000000002,62
7,CHA,Marvin Williams,22015,0021500292,2015-12-05,CHA @ CHI,30.8,31.68166666666666,0.292,,0.0,0.051,,,,,0.5222,,6.790000000000001,0.05639999999999999,,,,,18
8,ORL,Paolo Banchero,22022,0022200939,2023-03-01,ORL @ MIL,31.4,33.51166666666666,0.308,0.279,17.4,0.0,0.689,0.213,0.045,0.111,0.39139999999999997,0.3277,9.610000000000001,0.0492,0.5588,0.2653,0.1559,0.24000000000000005,56
9,MIN,Rudy Gobert,22022,0022200724,2023-01-25,MIN @ NOP,34.5,25.513333333333332,0.583,0.328,0.0,0.063,0.484,0.21,0.153,0.233,0.7824444444444444,0.2646666666666666,15.411111111111113,0.09080000000000002,0.537,0.26333333333333336,0.14722222222222223,0.2787777777777778,41
10,LAL,Kobe Bryant,22011,0021100941,2012-04-20,LAL @ SAS,29.816666666666666,10.934999999999999,0.625,,6.7,0.0,,,,,0.627,,8.166666666666666,0.0032,,,,,63
11,SAS,Danny Green,22013,0021300871,2014-02-28,SAS vs. CHA,27.466666666666665,31.438333333333333,0.429,,25.0,0.0,,,,,0.48739999999999994,,14.489999999999998,0.0223,,,,,49
12,UTA,Elijah Millsap,22014,0021401036,2015-03-21,UTA @ GSW,20.083333333333332,15.614999999999998,0.5,,33.3,0.0,,,,,0.3016,,20.009999999999998,0.028900000000000002,,,,,34
13,DAL,Jalen Brunson,42021,42100312,2022-05-20,DAL @ GSW,36.38333333333333,33.83333333333333,0.711,0.482,7.1,0.0,0.669,0.29,0.145,0.208,0.4635999999999999,0.24009999999999998,5.64,0.0325,0.5367,0.21830000000000002,0.16219999999999998,0.2618,14
14,SAC,Skal Labissiere,22016,0021601216,2017-04-11,SAC vs. PHX,26.316666666666666,27.305,0.429,0.532,0.0,0.105,0.387,0.21,0.081,0.275,0.48790000000000006,0.2165,11.73,0.06560000000000002,0.5853750000000001,0.22349999999999998,0.13775,0.168,55
15,TOR,Christian Koloko,22022,0022201119,2023-03-26,TOR vs. WAS,15.316666666666666,5.716666666666667,0.0,0.241,0.0,0.071,0.556,0.185,0.132,0.214,0.06666666666666667,0.22266666666666668,0.0,0.045200000000000004,0.44449999999999995,0.32,0.13133333333333333,0.15383333333333335,66
16,MIN,Juancho Hernangomez,22020,0022000018,2020-12-23,MIN vs. DET,11.766666666666667,,0.0,0.545,0.0,0.0,0.537,0.037,0.17,0.25,,,,,,,,,0
17,DEN,Jamal Murray,22020,0022000606,2021-03-15,DEN vs. IND,36.166666666666664,36.413333333333334,0.577,0.208,12.5,0.081,0.566,0.162,0.111,0.257,0.5862,0.23533333333333337,8.459999999999999,0.0172,0.5561666666666666,0.2956666666666667,0.1265,0.2718333333333333,37
18,SAS,Dejounte Murray,22021,22100144,2021-11-07,SAS @ OKC,35.46666666666667,34.36296296296296,0.263,0.118,9.7,0.021,0.493,0.254,0.144,0.265,0.5136666666666667,0.1667777777777778,7.144444444444446,0.01411111111111111,0.5334444444444444,0.19611111111111112,0.173,0.212,9
19,CLE,Tyler Zeller,22012,0021200846,2013-02-26,CLE @ CHI,28.233333333333334,24.076666666666664,0.333,,0.0,0.077,,,,,0.4072,,11.879999999999999,0.10130000000000002,,,,,52
20,PHX,Jared Dudley,22016,0021600774,2017-02-06,PHX @ NOP,20.683333333333334,3.668333333333333,0.583,,0.0,0.0,,,,,0.125,0.06266666666666666,0.0,0.0083,0.722,0.2806666666666667,0.07266666666666667,0.162,48
21,MIL,Ersan Ilyasova,22013,0021300981,2014-03-15,MIL @ NYK,24.933333333333334,22.493333333333332,0.3,,0.0,0.083,,,,,0.55525,,5.3625,0.07909999999999999,,,,,65
22,ATL,Jalen Johnson,22023,0022300990,2024-03-18,ATL @ LAL,32.35,30.72333333333333,0.5,0.143,3.7,0.049,0.703,0.219,0.081,0.083,0.5463333333333333,0.22444444444444445,7.8999999999999995,0.0273,0.49888888888888894,0.1651111111111111,0.1262222222222222,0.2541111111111111,51
23,LAC,DeAndre Jordan,22013,0021301150,2014-04-06,LAC vs. LAL,30.75,34.55833333333334,0.833,,20.0,0.125,,,,,0.7415999999999999,,16.8,0.12069999999999999,,,,,77
24,SAS,Cory Joseph,22014,0021400339,2014-12-12,SAS vs. LAL,35.45,20.55,0.536,,9.1,0.027,,,,,0.47575,,4.575,0.032499999999999994,,,,,22
25,CLE,JR Smith,42014,0041400401,2015-06-04,CLE @ GSW,34.35,25.116666666666667,0.346,,0.0,0.0,,,,,0.6518749999999999,,7.6125,0.0109,,,,,14
26,ATL,Miles Plumlee,22018,0021800556,2019-01-02,ATL @ WAS,0.0,5.714999999999999,,,,0.0,,,,,0.220875,0.478875,8.325,0.021399999999999995,0.538875,0.32000000000000006,0.20675,0.3015,27
27,ORL,DeQuan Jones,22012,0021201049,2013-03-25,ORL vs. MIA,8.6,6.65,0.6,,16.7,0.091,,,,,0.48888888888888893,,11.11111111111111,0.041,,,,,69
28,DET,Nerlens Noel,22022,0022200361,2022-12-06,DET @ MIA,0.0,0.8133333333333332,,,,0.0,,,,,0.0,0.077,0.0,0.025,0.875,2.143,0.1155,0.0835,24
29,BOS,Isaiah Thomas,22016,0021601113,2017-03-29,BOS vs. MIL,36.56666666666667,32.755,0.676,0.333,13.8,0.026,0.551,0.254,0.179,0.214,0.5702,0.3264,9.280000000000001,0.005200000000000001,0.5036,0.3668,0.1318,0.27440000000000003,68
30,TOR,Jared Sullinger,22016,0021600746,2017-02-03,TOR @ ORL,8.65,10.253703703703703,0.333,0.0,0.0,0.3,0.625,0.167,0.134,0.0,0.28157142857142853,0.3177142857142857,4.428571428571429,0.03988888888888889,0.5568571428571428,0.40528571428571425,0.18614285714285714,0.16785714285714287,9
31,GSW,Brandin Podziemski,22023,0022300362,2023-12-19,GSW vs. BOS,16.25,25.24833333333333,0.625,0.29,16.7,0.056,0.475,0.05,0.054,0.273,0.4736666666666667,0.25033333333333335,11.277777777777779,0.06470000000000001,0.5333333333333333,0.25166666666666665,0.12388888888888891,0.24855555555555556,25
32,TOR,Linas Kleiza,22010,0021000263,2010-12-01,TOR vs. WAS,18.166666666666668,23.62,0.375,,0.0,0.0,,,,,0.446,,7.18,0.0248,,,,,15
33,WAS,Tomas Satoransky,22016,0021600332,2016-12-08,WAS vs. DEN,0.0,10.995,,,,0.0,,,,,0.416625,0.20728571428571427,13.6625,0.0123,0.5644285714285714,0.31614285714285717,0.17471428571428574,0.31885714285714284,20
34,CHI,Bobby Portis,22016,0021601206,2017-04-10,CHI vs. ORL,14.25,19.97833333333333,1.0,0.154,0.0,0.214,0.386,0.273,0.202,0.077,0.5264,0.19577777777777775,3.7,0.0568,0.47933333333333333,0.3187777777777778,0.14488888888888887,0.3008888888888889,80
35,GSW,Klay Thompson,22015,0021500177,2015-11-19,GSW @ LAC,38.983333333333334,29.073333333333334,0.625,,9.1,0.069,,,,,0.5363333333333333,,9.855555555555556,0.009,,,,,12
36,BOS,DJ White,22012,0021201099,2013-03-31,BOS @ NYK,7.483333333333333,3.368333333333333,1.0,,0.0,0.0,,,,,0.6,,3.34,0.0267,,,,,15
37,TOR,Jose Calderon,22010,0021000079,2010-11-05,TOR @ LAL,26.266666666666666,21.012500000000003,0.778,,19.0,0.0,,,,,0.22925,,9.3,0.0,,,,,4
38,CHI,James Johnson,22010,0021000333,2010-12-10,CHI vs. LAL,0.0,5.723333333333333,,,,0.0,,,,,0.47925000000000006,,24.25,0.0196,,,,,20
39,LAL,Sasha Vujacic,22010,0021000143,2010-11-14,LAL vs. PHX,11.116666666666667,1.8962962962962966,0.5,,40.0,0.0,,,,,0.275,,12.5,0.012333333333333333,,,,,9
40,DET,Langston Galloway,22019,0021900060,2019-10-30,DET @ TOR,26.483333333333334,22.008333333333333,0.643,0.347,9.1,0.0,0.719,0.104,0.169,0.059,0.50325,0.41624999999999995,12.5,0.01775,0.52,0.23375,0.1595,0.23375,4
41,MIA,Dwyane Wade,22017,0021700821,2018-02-09,MIA vs. MIL,22.033333333333335,19.556666666666665,0.25,0.194,33.3,0.0,0.544,0.265,0.192,0.0,0.5379999999999999,0.33588888888888885,14.688888888888888,0.038299999999999994,0.5285555555555557,0.24855555555555556,0.1341111111111111,0.2703333333333333,48
42,BOS,Terry Rozier,22015,0021500668,2016-01-25,BOS @ WAS,3.9166666666666665,0.825,0.0,,0.0,0.25,,,,,0.0,,0.0,0.0,,,,,31
43,DAL,Salah Mejri,22017,0021700181,2017-11-11,DAL vs. CLE,9.516666666666667,8.536666666666667,1.0,0.111,0.0,0.25,0.433,0.533,0.102,0.125,0.26185714285714284,0.16414285714285715,13.485714285714286,0.1206,0.41742857142857137,0.19642857142857142,0.13357142857142856,0.20457142857142857,12
44,CLE,Collin Sexton,22020,0022000785,2021-04-08,CLE @ OKC,33.3,32.09666666666667,0.529,0.27,0.0,0.031,0.508,0.098,0.193,0.167,0.5186666666666667,0.3025714285714286,8.277777777777779,0.027700000000000002,0.5877142857142857,0.24985714285714286,0.1367142857142857,0.17957142857142855,49
45,BOS,Paul Pierce,22010,0021000023,2010-10-29,BOS vs. NYK,38.766666666666666,36.93333333333334,0.55,,6.9,0.049,,,,,0.622,,18.200000000000003,0.0165,,,,,2
46,NYK,Cole Aldrich,22014,0021400113,2014-11-12,NYK vs. ORL,0.0,8.66875,,,,0.0,,,,,0.4723333333333333,,9.35,0.090125,,,,,8
47,DAL,Nerlens Noel,22017,0021701134,2018-03-30,DAL vs. MIN,25.383333333333333,15.526666666666666,1.0,0.093,0.0,0.043,0.536,0.167,0.104,0.083,0.5881428571428572,0.227,6.057142857142857,0.0483,0.4532857142857143,0.26000000000000006,0.15300000000000002,0.19257142857142856,39
48,SAS,Gorgui Dieng,22020,0022000853,2021-04-16,SAS vs. POR,0.0,2.3899999999999997,,,,0.0,,,,,0.25,0.6745,12.233333333333334,0.0,0.7125,0.3915,0.0285,0.2,44
49,BKN,Spencer Dinwiddie,22018,0021800609,2019-01-09,BKN vs. ATL,29.333333333333332,28.11833333333334,0.357,0.364,18.5,0.029,0.333,0.373,0.241,0.321,0.4771000000000001,0.40869999999999995,12.16,0.0034000000000000002,0.5174000000000001,0.1927,0.11579999999999999,0.20580000000000004,42
50,MIA,Rashard Lewis,22013,0021300300,2013-12-08,MIA @ DET,22.8,18.658333333333335,0.9,,16.7,0.059,,,,,0.3005,,12.930000000000001,0.030699999999999998,,,,,20
51,LAL,Kobe Bryant,22014,0021400471,2014-12-30,LAL @ DEN,31.666666666666668,24.59666666666667,0.682,,26.5,0.043,,,,,0.3568571428571429,,12.842857142857143,0.018,,,,,31
52,UTA,Paul Millsap,22010,0021001208,2011-04-11,UTA @ NOH,33.61666666666667,35.623333333333335,0.615,,5.9,0.0,,,,,0.5391,,12.02,0.07450000000000001,,,,,80
53,DEN,Gary Harris,22017,0021700996,2018-03-11,DEN vs. SAC,32.53333333333333,36.17333333333333,0.625,0.279,0.0,0.0,0.474,0.276,0.046,0.103,0.5826999999999999,0.2554,8.580000000000002,0.0153,0.5533999999999999,0.29000000000000004,0.15060000000000004,0.27769999999999995,62
54,PHI,Royal Ivey,22012,0021200312,2012-12-12,PHI vs. CHI,0.0,0.9266666666666667,,,,0.0,,,,,0.0,,0.0,0.0,,,,,21
55,DEN,Shaquille Harrison,22020,0022000940,2021-04-28,DEN vs. NOP,9.9,8.919999999999998,0.5,0.25,16.7,0.091,0.625,0.313,0.289,0.167,0.40625,0.22175,5.625,0.005,0.516,0.24450000000000002,0.10799999999999998,0.0785,37
56,PHI,Thaddeus Young,22010,0021000820,2011-02-15,PHI @ MEM,27.2,25.385,0.563,,5.0,0.148,,,,,0.5111,,12.11,0.0548,,,,,54
57,CLE,Tyler Zeller,22013,0021300397,2013-12-21,CLE @ CHI,12.983333333333333,1.45,0.6,,0.0,0.125,,,,,0.22233333333333336,,8.333333333333334,0.0417,,,,,23
