,TEAM_ABBREVIATION,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,PLUS_MINUS,PTS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
0,CHI,22018,0021800076,2018-10-27,CHI @ ATL,12.0,97,0.506,0.193,21.3,0.208,0.393,0.274,0.209,0.19,0.5408,0.279,14.059999999999999,0.23620000000000002,0.5366000000000001,0.258,0.11400000000000002,0.3236,5
1,BKN,22018,0021801041,2019-03-16,BKN @ UTA,-16.0,98,0.411,0.232,6.7,0.175,0.5,0.341,0.143,0.345,0.5316,0.30569999999999997,14.61,0.23009999999999997,0.4704,0.2476,0.12920000000000004,0.2928,70
2,HOU,22010,0021000698,2011-01-29,HOU @ SAS,-13.0,95,0.494,0.186,18.9,0.438,0.568,0.365,0.143,0.297,0.49479999999999985,0.274,12.02,0.2904,0.5154000000000001,0.253,0.13299999999999998,0.29019999999999996,48
3,WAS,22018,0021801211,2019-04-09,WAS vs. BOS,-6.0,110,0.495,0.186,14.3,0.316,0.53,0.232,0.059,0.22,0.5059,0.2665,12.14,0.29270000000000007,0.5722,0.21280000000000002,0.13779999999999998,0.26620000000000005,81
4,CHI,22021,22100499,2021-12-26,CHI vs. IND,8.0,113,0.638,0.289,15.0,0.139,0.479,0.223,0.092,0.281,0.5524,0.25250000000000006,13.85,0.274,0.5435,0.23089999999999997,0.1296,0.2717,29
5,CHI,22018,0021800507,2018-12-26,CHI vs. MIN,-25.0,94,0.442,0.168,10.2,0.217,0.554,0.204,0.118,0.327,0.5045999999999999,0.20660000000000003,17.38,0.23619999999999997,0.5087999999999999,0.2693,0.15139999999999998,0.29400000000000004,34
6,DAL,22017,0021700032,2017-10-21,DAL @ HOU,-16.0,91,0.446,0.25,14.1,0.158,0.543,0.268,0.152,0.178,0.514,0.262,14.5,0.1835,0.521,0.1545,0.14750000000000002,0.34550000000000003,2
7,WAS,22011,0021100478,2012-02-20,WAS @ PHX,-16.0,88,0.458,0.226,17.5,0.231,0.513,0.367,0.143,0.261,0.4783000000000001,0.29619999999999996,16.2,0.3193,0.5005,0.32120000000000004,0.1557,0.37039999999999995,31
8,DEN,22017,0021700094,2017-10-30,DEN @ NYK,-6.0,110,0.518,0.365,13.0,0.273,0.579,0.28,0.221,0.429,0.5078333333333334,0.21933333333333335,15.583333333333334,0.29000000000000004,0.49666666666666665,0.24383333333333332,0.144,0.251,6
9,TOR,42016,0041600211,2017-05-01,TOR @ CLE,-11.0,105,0.494,0.225,12.0,0.2,0.541,0.341,0.117,0.208,0.4951666666666666,0.34933333333333333,15.866666666666665,0.24,0.5068333333333334,0.27233333333333337,0.143,0.23500000000000001,6
10,MIL,22017,0021701002,2018-03-12,MIL @ MEM,18.0,121,0.654,0.272,19.8,0.351,0.522,0.213,0.093,0.231,0.5190000000000001,0.31900000000000006,16.03,0.2711,0.5459999999999999,0.2557,0.1524,0.2875,66
11,IND,22017,0021700106,2017-11-01,IND @ CLE,26.0,124,0.633,0.144,13.6,0.233,0.541,0.233,0.156,0.2,0.5245714285714286,0.2897142857142857,15.228571428571428,0.2942857142857143,0.5192857142857144,0.2267142857142857,0.15,0.29571428571428576,7
12,DET,22016,0021600342,2016-12-09,DET @ MIN,27.0,117,0.583,0.274,7.8,0.279,0.494,0.256,0.131,0.227,0.5209999999999999,0.1846,12.66,0.2673,0.4780000000000001,0.3065,0.11979999999999998,0.21480000000000002,24
13,TOR,22020,0022000027,2020-12-26,TOR @ SAS,-5.0,114,0.536,0.156,11.5,0.245,0.54,0.16,0.147,0.345,0.506,0.135,20.0,0.275,0.644,0.25,0.25,0.302,1
14,TOR,22022,0022200199,2022-11-14,TOR @ DET,4.0,115,0.537,0.341,17.2,0.31,0.519,0.558,0.183,0.375,0.5126999999999999,0.26830000000000004,12.939999999999998,0.3353,0.5670999999999999,0.24020000000000002,0.18039999999999998,0.2920999999999999,14
