,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,MINUTES,AVG_PTS_PM,AVG_REB_PM,AVG_AST_PM,AVG_STL_PM,AVG_BLK_PM,AVG_TO_PM,AVG_PACE,AVG_FG_PCT,AVG_FT_PCT,AVG_PLUS_MINUS,GAME_COUNT
0,DEN,Christian Braun,22022,0022200861,2023-02-13,DEN @ MIA,20.916666666666668,,,,,,,92.313,0.476,0.225,-0.7,57
1,DEN,Christian Braun,22022,0022200881,2023-02-15,DEN vs. DAL,21.546666666666667,,,,,,,91.901,0.482,0.175,-0.7,58
2,DEN,Christian Braun,22022,0022200886,2023-02-23,DEN @ CLE,21.650000000000002,,,,,,,91.958,0.499,0.225,0.0,59
3,DEN,Vlatko Cancar,22022,0022200907,2023-02-25,DEN @ MEM,22.111666666666668,,,,,,,0.0,0.0,0.0,0.0,58
4,DET,Jaden Ivey,22022,0022200325,2022-12-01,DET vs. DAL,28.595,,,,,,,89.964,0.366,0.569,-7.1,20
5,DET,Jaden Ivey,22022,0022200347,2022-12-04,DET vs. MEM,28.96666666666667,,,,,,,89.367,0.356,0.547,-4.9,21
6,DET,Jaden Ivey,22022,0022200361,2022-12-06,DET @ MIA,29.258333333333336,,,,,,,89.607,0.342,0.591,-5.5,22
7,DET,Jaden Ivey,22022,0022200371,2022-12-07,DET @ NOP,28.48,,,,,,,89.213,0.322,0.566,-4.5,23
8,DET,Jaden Ivey,22022,0022200383,2022-12-09,DET @ MEM,27.235000000000003,,,,,,,89.038,0.324,0.536,-5.1,24
9,DET,Jaden Ivey,22022,0022200396,2022-12-11,DET vs. LAL,26.20166666666666,,,,,,,90.179,0.315,0.536,-5.7,25
