,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,MINUTES,AVG_PTS_PM,AVG_REB_PM,AVG_AST_PM,AVG_STL_PM,AVG_BLK_PM,AVG_TO_PM,AVG_PACE,AVG_FG_PCT,AVG_FT_PCT,AVG_PLUS_MINUS,GAME_COUNT
0,NYK,Danilo Gallinari,22010,0021000332,2010-12-10,NYK @ WAS,37.23833333333333,0.0,0.0,0.0,0.0,0.0,0.0,96.563,0.0,0.0,0.0,23
1,SAC,Marco Belinelli,22015,0021500754,2016-02-05,SAC @ BKN,23.943333333333335,0.0,0.0,0.0,0.0,0.0,0.0,98.017,0.0,0.0,0.0,48
2,MIA,Rodney McGruder,22017,0021700922,2018-03-01,MIA vs. LAL,3.0444444444444443,,,,,,,30.657,0.167,0.0,0.333,3
3,MIA,Udonis Haslem,22012,0021200938,2013-03-10,MIA vs. IND,17.805,0.0,0.0,0.0,0.0,0.0,0.0,93.804,0.0,0.0,0.0,57
4,BOS,Shane Larkin,22017,0021700215,2017-11-16,BOS vs. GSW,8.48,,,,,,,86.117,0.129,0.2,1.1,15
5,SAC,Quincy Acy,22015,0021500729,2016-02-01,SAC vs. MIL,6.863333333333332,,,,,,,59.533,0.0,0.0,0.0,46
6,DET,Saddiq Bey,22020,0022000257,2021-01-25,DET vs. PHI,18.568333333333335,0.221,0.097,0.016,0.018,0.0,0.051,102.732,0.186,0.367,-4.1,16
7,LAC,DeAndre Jordan,22017,0021700245,2017-11-20,LAC @ NYK,31.588333333333328,0.346,0.383,0.033,0.016,0.037,0.076,96.987,0.698,0.454,-8.0,15
8,ATL,Jeff Teague,22012,0021200572,2013-01-16,ATL vs. BKN,34.35,0.0,0.0,0.0,0.0,0.0,0.0,91.403,0.0,0.0,0.0,37
9,MIL,Brook Lopez,42020,0042000402,2021-07-08,MIL @ PHX,30.863333333333333,0.321,0.107,0.007,0.015,0.04,0.016,97.032,0.392,0.3,4.1,18
10,NOH,Eric Gordon,22011,0021100104,2012-01-06,NOH vs. DEN,13.058333333333332,,,,,,,29.915,0.0,0.0,0.0,6
11,MIN,Rudy Gobert,42023,0042300311,2024-05-22,MIN vs. DAL,34.291666666666664,0.348,0.314,0.049,0.028,0.032,0.055,93.032,0.613,0.549,11.1,10
12,NOH,Trevor Ariza,22010,0021000146,2010-11-15,NOH @ DAL,32.96041666666667,0.0,0.0,0.0,0.0,0.0,0.0,94.261,0.0,0.0,0.0,8
13,NOH,Emeka Okafor,22011,0021100450,2012-02-17,NOH @ NYK,24.391666666666662,,,,,,,70.358,0.0,0.0,0.0,29
14,OKC,DJ White,22010,0021000320,2010-12-08,OKC @ MIN,5.948333333333333,,,,,,,46.817,0.0,0.0,0.0,22
15,CHI,C.J. Watson,22011,0021100647,2012-03-16,CHI vs. POR,7.904999999999999,,,,,,,47.811,0.0,0.0,0.0,40
16,MIN,Ricky Rubio,22013,0021300505,2014-01-06,MIN @ PHI,30.923333333333336,0.0,0.0,0.0,0.0,0.0,0.0,100.846,0.0,0.0,0.0,33
17,CHI,Richard Hamilton,22012,0021200506,2013-01-07,CHI vs. CLE,7.983333333333334,,,,,,,36.544,0.0,0.0,0.0,25
18,PHI,Furkan Korkmaz,22022,0022200297,2022-11-27,PHI @ ORL,8.121666666666666,,,,,,,63.641,0.208,0.3,1.0,18
19,NYK,Doug McDermott,22017,0021700124,2017-11-03,NYK vs. PHX,20.935714285714287,0.327,0.133,0.093,0.014,0.011,0.025,101.303,0.536,0.238,-1.714,7
20,NOH,Willie Green,22010,0021000403,2010-12-19,NOH @ DET,19.831666666666663,0.0,0.0,0.0,0.0,0.0,0.0,92.328,0.0,0.0,0.0,26
21,BKN,Kris Humphries,22012,0021200551,2013-01-13,BKN vs. IND,15.373333333333335,,,,,,,73.673,0.0,0.0,0.0,30
22,LAL,Jordan Farmar,22013,0021300586,2014-01-17,LAL @ BOS,8.219999999999999,,,,,,,30.411,0.0,0.0,0.0,39
23,DEN,Juancho Hernangomez,22019,0021900053,2019-10-29,DEN vs. DAL,0.0,,,,,,,0.0,0.0,0.0,0.0,3
