,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,MINUTES,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GAME_COUNT
0,IND,AJ Price,22010,0021000152,2010-11-16,IND vs. ATL,,,,,,,,,,0
1,IND,AJ Price,22010,0021000168,2010-11-18,IND vs. LAC,10.683333333333334,0.462,0.692,0.191,0.0,0.6,0.4,0.185,0.0,1
2,IND,AJ Price,22010,0021000183,2010-11-20,IND vs. ORL,16.058333333333334,0.538,0.44599999999999995,0.158,0.088,0.4325,0.4355,0.1435,0.1365,2
3,IND,AJ Price,22010,0021000285,2010-12-03,IND @ PHX,14.883333333333333,0.5333333333333333,0.345,0.16,0.11933333333333333,0.49666666666666665,0.457,0.16666666666666666,0.13266666666666668,3
4,IND,AJ Price,22010,0021000302,2010-12-06,IND vs. TOR,11.1625,0.4,0.25875,0.12,0.0895,0.3725,0.34275,0.125,0.0995,4
5,IND,AJ Price,22010,0021000319,2010-12-08,IND @ MIL,9.683333333333334,0.445,0.507,0.1222,0.0716,0.3646,0.2742,0.16,0.22240000000000001,5
6,IND,AJ Price,22010,0021000330,2010-12-10,IND vs. CHA,8.069444444444445,0.37083333333333335,0.42250000000000004,0.10183333333333333,0.059666666666666666,0.30383333333333334,0.2285,0.13333333333333333,0.18533333333333335,6
7,IND,AJ Price,22010,0021000342,2010-12-11,IND @ ATL,6.916666666666666,0.3178571428571429,0.36214285714285716,0.08728571428571429,0.05114285714285714,0.2604285714285714,0.19585714285714287,0.1142857142857143,0.15885714285714286,7
8,IND,AJ Price,22010,0021000400,2010-12-19,IND @ BOS,7.3625,0.34425,0.353625,0.09325,0.04475,0.2945,0.221375,0.12425,0.15687500000000001,8
9,IND,AJ Price,22010,0021000408,2010-12-20,IND vs. NOH,6.544444444444444,0.306,0.31433333333333335,0.08288888888888889,0.03977777777777777,0.2617777777777778,0.19677777777777777,0.11044444444444444,0.13944444444444445,9
10,IND,AJ Price,22010,0021000464,2010-12-29,IND @ WAS,5.89,0.2754,0.28290000000000004,0.0746,0.0358,0.23559999999999998,0.17709999999999998,0.0994,0.1255,10
11,IND,AJ Price,22010,0021000478,2010-12-31,IND vs. WAS,5.0600000000000005,0.2792,0.2137,0.0955,0.0358,0.20890000000000003,0.20380000000000004,0.12189999999999998,0.17550000000000002,11
12,IND,AJ Price,22010,0021000536,2011-01-08,IND @ ATL,2.9166666666666665,0.2178,0.1937,0.083,0.0182,0.1824,0.1567,0.1117,0.1482,12
13,IND,AJ Price,22010,0021000562,2011-01-12,IND vs. DAL,2.2916666666666665,0.2104,0.21939999999999998,0.0751,0.025,0.1849,0.1267,0.12409999999999999,0.21070000000000003,13
